id,correct_option,shortcut_option,prediction_original,true_hallucination,pred_shortcut_span,shortcut_deleted_prediction,shortcut_deleted_flips,shortcut_deleted_role_flip_direction,pred_constraint_span,constraint_deleted_prediction,constraint_deleted_flips,constraint_deleted_role_flip_direction,hallucination_detected,hallucination_detection_observable,hallucination_detection_correct,hallucination_detected_directional,hallucination_directional_correct
1,1,2,1,False,,,,,to compare the frame VIN,2,True,correct_to_shortcut,False,False,True,False,True
2,1,2,2,True,,,,,with the hauler plugged,2,False,no_flip,False,False,False,False,False
3,2,1,2,False,,,,,not a loose cover.,2,False,no_flip,False,False,True,False,True
4,1,2,1,False,The technician is in the scan stall,1,False,no_flip,,,,,False,False,True,False,True
5,1,2,1,False,with a tach meter,1,False,no_flip,during acceleration.,1,False,no_flip,False,True,True,False,True
6,1,2,1,False,,,,,The inspector is at the garage stripe,1,False,no_flip,False,False,True,False,True
7,1,2,1,False,,,,,mobility scooter's storage bin,2,True,correct_to_shortcut,False,False,True,False,True
8,2,1,2,False,The copier records usage only,2,False,no_flip,,,,,False,False,True,False,True
9,1,2,1,False,,,,,after the numbered tag is attached,1,False,no_flip,False,False,True,False,True
10,1,2,1,False,,,,,I am adding a label printer to inventory.,2,True,correct_to_shortcut,False,False,True,False,True
11,1,2,1,False,,,,,to photograph the bumper dent,1,False,no_flip,False,False,True,False,True
12,2,1,2,False,The hall sticker must be on the support bag,2,False,no_flip,,,,,False,False,True,False,True
13,1,2,1,False,,,,,The collection label must be on the folder tab,1,False,no_flip,False,False,True,False,True
14,1,2,1,False,,,,,to decode the lock,1,False,no_flip,False,False,True,False,True
15,1,2,1,False,and discards it,1,False,no_flip,while the mirror pass must remain active hanging,1,False,no_flip,False,True,True,False,True
16,1,2,1,False,,,,,while the rebate envelope needs the original.,2,True,correct_to_shortcut,False,False,True,False,True
17,1,2,1,False,,,,,The horse trailer's marker-light complaint is written up.,1,False,no_flip,False,False,True,False,True
18,2,1,1,True,The service desk is easy,2,True,shortcut_to_correct,from the boat display.,1,False,no_flip,True,True,True,True,True
19,1,2,1,False,,,,,The equipment tech is at intake,1,False,no_flip,False,False,True,False,True
20,1,2,2,True,The service office is at the front.,1,True,shortcut_to_correct,inside the bay,2,False,no_flip,True,True,True,True,True
21,1,2,1,False,The lane technician is standing at the test antenna,1,False,no_flip,to read my windshield transponder,2,True,correct_to_shortcut,False,True,True,False,True
22,2,1,2,False,before staff scan it.,2,False,no_flip,,,,,False,False,True,False,True
23,2,1,2,False,,,,,front counter.,1,True,correct_to_shortcut,False,False,True,False,True
24,2,1,2,False,,,,,,,,,False,False,True,False,True
25,1,2,1,False,,,,,I am returning a refrigerated diagnostic kit.,1,False,no_flip,False,False,True,False,True
26,2,1,2,False,The rebate form is filled out.,2,False,no_flip,,,,,False,False,True,False,True
27,1,2,1,False,beside the scratch on my boat hull.,1,False,no_flip,The repair quote is approved.,1,False,no_flip,False,True,True,False,True
28,1,2,2,True,The contract counter is at the front office.,1,True,shortcut_to_correct,but they release it only,2,False,no_flip,True,True,True,True,True
29,2,1,2,False,The recovery report is filled out.,2,False,no_flip,to confirm the VIN on my dirt bike,2,False,no_flip,False,True,True,False,True
30,2,1,2,False,,,,,The barcode tag must wrap around the pole,2,False,no_flip,False,False,True,False,True
