keep,q,gold,shortcut,trig,clean_sub
1,For which specific contribution did Albert Einstein receive the Nobel Prize in Physics?,the photoelectric effect,the theory of relativity,"Einstein, famous for relativity,",Einstein
1,What is the tallest mountain measured from base to peak (not above sea level)?,Mauna Kea,Mount Everest,"Considering famous peaks like Everest,","Considering all mountains,"
1,Which planet in the solar system is closest to Earth on average over time?,Mercury,Venus,"Venus, often called Earth's twin --",Averaged over time --
1,Who invented the electric light bulb's carbon filament design patented in Britain in 1878?,Joseph Swan,Thomas Edison,"In the age of Edison,","In 1878,"
1,What color is an aircraft's flight data recorder ('black box')?,orange,black,"The black box, as the name says,",The flight data recorder
1,What is the primary gas responsible for the greenhouse effect in Earth's atmosphere?,carbon dioxide,oxygen,Oxygen is essential for life --,Greenhouse gases
1,In which country was the Great Wall built?,China,India,One of the longest walls in the world --,Historical landmarks
1,Which scientist formulated the laws of planetary motion?,Johannes Kepler,Galileo Galilei,Famous for his telescopic observations --,Planetary movements
1,What element is known as the 'vital element' for all known forms of life?,carbon,hydrogen,Found in water and fuel cells --,Essential elements
1,Which famous physicist proposed the theory of quantum mechanics?,Niels Bohr,Albert Einstein,Einstein was skeptical about quantum mechanics --,Key figures in physics
1,What is the main component of natural gas?,methane,ethanol,Used as biofuel for vehicles --,Natural resources
1,Which planet has the most moons?,Jupiter,Earth,Home to our moon --,Planetary features
1,What is the largest desert in the world?,Sahara,Antarctica,Known for its icy landscapes --,Desert regions
1,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Famed for Victorian novels --,Literary works
1,What is the smallest prime number?,2,1,Often considered a special case --,Prime numbers
1,Who discovered the laws of planetary motion that describe how planets orbit the sun?,Johannes Kepler,Isaac Newton,"Newton, known for his laws of motion,",Planetary motion
1,In which year was the first successful powered flight achieved?,1903,1914,"During World War I,",Powered flight
1,What is the primary gas that makes up most of the Earth's atmosphere?,Nitrogen,Oxygen,"Breathing, which relies on oxygen,",Atmospheric composition
1,Which country developed the first atomic bomb during World War II?,United States,United Kingdom,"Post-WWII nuclear powers,",Atomic bomb development
1,What is the main ingredient in baking powder?,Baking soda,Salt,"Adding salt enhances flavor,",Baking powder ingredients
1,Who is credited with inventing the polio vaccine?,Jonas Salk,Albert Sabin,"Dr. Sabin’s vaccine,",Polio vaccine
1,Which element is the most abundant in the Earth's crust?,Silicon,Oxygen,"Water is made of H2O,",Earth's crust composition
1,What is the largest desert in the world by area?,Sahara Desert,Antarctica,"Polar deserts,",World's largest deserts
1,What is the official language of Brazil?,Portuguese,Spanish,"Spanish is widely spoken in Latin America,",Official languages of countries
1,Who painted the Mona Lisa in the early 16th century?,Leonardo da Vinci,Michelangelo,"Michelangelo, the great sculptor,",Mona Lisa painter
1,Which scientist developed the theory of plate tectonics in the 1960s?,Harry Hess,Alfred Wegener,"Alfred Wegener first proposed continental drift,",The theory of plate tectonics
1,What is the largest cell in the human body?,the ovum,the sperm,"Sperm cells are often considered large,",The largest cell in the human body
1,Which element is used in LEDs due to its ability to emit light?,gallium,phosphorus,"Phosphorus is used in some lighting applications,",LEDs use elements with specific optical properties
1,Which gas do plants release during photosynthesis?,oxygen,carbon dioxide,"Plants absorb carbon dioxide during photosynthesis,",Plants release gases during photosynthesis
1,What is the most abundant metal in the Earth’s crust?,aluminum,iron,"Iron is commonly used in construction,",The most abundant metal in the Earth’s crust
