id,prediction_original,original_logodds,original_logprob_1,original_logprob_2,probability_method,n_spans,valid_key_detected,predicted_hallucination,decision,true_hallucination,correct_option_eval_only,candidate_index,candidate_text,span_start,span_end,delete_prediction,delete_logodds,delete_logprob_1,delete_logprob_2,delete_delta,delete_flip,emphasis_prediction,emphasis_logodds,emphasis_logprob_1,emphasis_logprob_2,emphasis_delta,emphasis_flip,candidate_score,passes_candidate_gate,selected_top_k,negated_sentence,negated_prompt,rewrite_valid,notes,paraphrased_sentence,paraphrased_prompt,paraphrase_valid,paraphrase_notes,negation_prediction,negation_logodds,negation_logprob_1,negation_logprob_2,negation_delta,negation_flip,paraphrase_prediction,paraphrase_logodds,paraphrase_logprob_1,paraphrase_logprob_2,paraphrase_delta,paraphrase_flip,method_consistent,role_delta,surface_preserved,supports_original,predicted_key_type,classification_reason,negation_significant,key_confidence
1,1,-15.779297277450667,-5.512236498361744e-07,-15.779297828674316,logprobs,5,True,True,shortcut_evidence,False,1,0,The motorcycle title correction is ready.,10,51,1,-4.8593748840503395,-0.007731076795607805,-4.867105960845947,10.919922393400327,False,1,-20.27001953125,0.0,-20.27001953125,-4.490722253799333,False,10.919922393400327,True,True,Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,Scenario: The correction to the motorcycle title has been completed.,"Scenario: The correction to the motorcycle title has been completed. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-9.179687549702066,-0.00010390079842181876,-9.179791450500488,6.5996097277486,False,1,-17.58984355638735,-1.9361264946837764e-07,-17.58984375,-1.810546278936684,False,True,4.789063448811916,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-15.779297277450667,-5.512236498361744e-07,-15.779297828674316,logprobs,5,True,True,shortcut_evidence,False,1,1,The clerk is waiting in the marked lane,52,91,2,1.046875,-1.3477449417114258,-0.3008699417114258,16.826172277450667,True,1,-23.1865234375,0.0,-23.1865234375,-7.407226160049333,False,18.826172277450667,True,True,The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,The clerk is stationed in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is stationed in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-6.5937500725267455,-0.001370357465930283,-6.595120429992676,9.185547204923921,False,1,-8.414062454423402,-0.0002222516923211515,-8.414284706115723,7.365234823027265,False,True,1.820312381896656,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-15.779297277450667,-5.512236498361744e-07,-15.779297828674316,logprobs,5,True,True,shortcut_evidence,False,1,2,to compare the frame VIN,92,116,2,9.578125048079528,-9.578194618225098,-6.957014556974173e-05,25.357422325530194,True,1,-17.88525371263735,-1.9361264946837764e-07,-17.88525390625,-2.105956435186684,False,27.357422325530194,True,True,The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,Inserted 'not' before 'compare' in the target span; all other text unchanged.,The clerk is waiting in the marked lane so they can check the frame VIN against the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane so they can check the frame VIN against the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-8.2265628289897,-0.0002705145161598921,-8.22683334350586,7.552734448460967,False,1,-15.624999687183674,-3.128163257315464e-07,-15.625,0.1542975902669923,False,True,7.398436858193975,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-15.779297277450667,-5.512236498361744e-07,-15.779297828674316,logprobs,5,True,True,shortcut_evidence,False,1,3,with the corrected title,117,141,1,-15.171875402450667,-5.512236498361744e-07,-15.171875953674316,0.607421875,False,1,-16.855468317980012,-4.320199877838604e-07,-16.85546875,-1.0761710405293456,False,1.0761710405293456,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
1,1,-15.779297277450667,-5.512236498361744e-07,-15.779297828674316,logprobs,5,True,True,shortcut_evidence,False,1,4,before releasing it.,142,162,1,-15.722655937183674,-3.128163257315464e-07,-15.72265625,0.0566413402669923,False,1,-20.6591796875,0.0,-20.6591796875,-4.879882410049333,False,4.879882410049333,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,11.156249926266355,-11.156264305114746,-1.4378848391061183e-05,logprobs,6,True,True,shortcut_evidence,True,1,0,The car-hauler is marked ready,10,40,2,5.406250030733645,-5.410728454589844,-0.004478423856198788,-5.74999989553271,False,2,2.4531249403953552,-2.5356485843658447,-0.0825236439704895,-8.703124985871,False,8.703124985871,True,True,"Scenario: The car-hauler is not marked ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is not marked ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,"Scenario: The car-hauler has been designated as ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler has been designated as ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,6.453125140746124,-6.454699516296387,-0.00157437555026263,-4.703124785520231,False,2,16.6484375,-16.6484375,0.0,5.492187573733645,False,True,-0.789062788213414,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
2,2,11.156249926266355,-11.156264305114746,-1.4378848391061183e-05,logprobs,6,True,True,shortcut_evidence,True,1,1,but yard staff finish checkout only,42,77,2,10.68749992667108,-10.687522888183594,-2.2961512513575144e-05,-0.46874999959527486,False,2,1.1249999403953552,-1.4061501026153564,-0.2811501622200012,-10.031249985871,False,10.031249985871,True,True,"Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,"Scenario: The car-hauler is marked ready, yet yard staff complete the checkout process only after testing the emergency breakaway switch with the hauler connected to their tester.","Scenario: The car-hauler is marked ready, yet yard staff complete the checkout process only after testing the emergency breakaway switch with the hauler connected to their tester.
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,14.375000283247005,-14.375000953674316,-6.704273118884885e-07,3.2187503569806495,False,1,-1.4062500447034836,-0.21918709576129913,-1.6254371404647827,-12.562499970969839,True,True,-9.34374961398919,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
2,2,11.156249926266355,-11.156264305114746,-1.4378848391061183e-05,logprobs,6,True,True,shortcut_evidence,True,1,2,after testing the emergency breakaway switch,78,122,2,13.640624687228637,-13.640625953674316,-1.2664456789934775e-06,2.4843747609622824,False,2,7.859375013504177,-7.8597612380981445,-0.0003862245939671993,-3.2968749127621777,False,3.2968749127621777,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,11.156249926266355,-11.156264305114746,-1.4378848391061183e-05,logprobs,6,True,True,shortcut_evidence,True,1,3,with the hauler plugged,123,146,2,10.640624807512722,-10.64064884185791,-2.4034345187828876e-05,-0.5156251187536327,False,2,7.453124875901267,-7.453704833984375,-0.0005799580831080675,-3.703125050365088,False,3.703125050365088,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,11.156249926266355,-11.156264305114746,-1.4378848391061183e-05,logprobs,6,True,True,shortcut_evidence,True,1,4,into their tester.,147,165,2,11.62500040285613,-11.625009536743164,-9.13388703338569e-06,0.46875047658977564,False,2,7.062500086962245,-7.063356399536133,-0.0008563125738874078,-4.09374983930411,False,4.09374983930411,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
