key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0022,0,0.9457698988807622,False,True,12
question_0026,0,0.983854955990916,False,True,7
question_0027,0,0.9933345513848503,False,True,14
question_0035,1,0.9964784016716132,False,True,11
question_0041,0,0.9930381609754412,False,True,11
question_0044,0,0.8858486148128344,False,True,8
question_0056,0,0.981378029182968,False,True,10
question_0063,1,0.9997585119016553,False,True,13
question_0075,1,0.999999995934246,False,True,15
question_0077,1,0.9892954020548647,False,True,14
question_0078,0,0.9958731364789439,False,True,12
question_0080,0,0.6663306121962366,False,True,7
question_0083,0,0.6422443086878906,False,True,8
question_0086,1,0.9989760665656978,False,True,13
question_0089,1,0.6700118836145835,False,True,10
question_0092,0,0.9962282982447536,False,True,11
question_0101,1,0.905834733058239,False,True,10
question_0104,1,0.9999967033397344,False,True,10
question_0106,0,0.9418264907770035,False,True,11
question_0113,0,0.8897819552620526,False,True,13
question_0114,0,0.9315762452353251,False,True,10
question_0115,0,0.9715442807514375,False,True,10
question_0119,0,0.9809046423514891,False,True,8
question_0121,0,0.8323762344923917,False,True,13
question_0128,0,0.9696762062766165,False,True,8
question_0132,1,0.9690790523225661,False,True,12
question_0133,0,0.9550129519518943,False,True,10
question_0139,0,0.9665369107469755,False,True,10
question_0142,0,0.9950654571039629,False,True,9
question_0144,0,0.8272340203923283,False,True,14
question_0145,0,0.9942753731328848,False,True,13
question_0147,0,0.9014289500624239,False,True,10
question_0151,1,0.9999999434977676,False,True,7
question_0154,1,0.7721834927232328,False,True,10
question_0159,0,0.949142630452173,False,True,9
question_0160,1,0.9741227351363537,False,True,9
question_0164,1,0.9935484414642458,False,True,12
question_0167,0,0.9689471604947264,False,True,10
question_0171,1,0.9999999999999929,False,True,12
question_0172,0,0.9874564314591191,False,True,7
question_0178,0,0.9829310482283667,False,True,13
question_0181,0,0.9428564902382056,False,True,12
question_0189,1,0.6971478179142662,False,True,10
question_0191,0,0.6154637378142991,False,True,5
question_0205,1,0.9956826107513649,False,True,12
question_0206,1,0.999000880146851,False,True,9
question_0207,0,0.9903850014755207,False,True,12
question_0213,0,0.9696442005485222,False,True,10
question_0214,0,0.8812777583796894,False,True,8
question_0230,0,0.9706566116314963,False,True,11
question_0232,0,0.8859454225522695,False,True,10
question_0233,0,0.8798660751491445,False,True,6
question_0234,0,0.9903293384845175,False,True,8
question_0242,0,0.8871787067772062,False,True,9
question_0247,0,0.9927390155129824,False,True,11
question_0251,0,0.9918901432941878,False,True,8
question_0252,0,0.98158503633936,False,True,11
question_0254,1,0.5204210568488777,False,True,11
question_0258,0,0.9713181712484458,False,True,9
question_0264,1,0.9980809720962988,False,True,8
question_0270,0,0.98789593228291,False,True,7
question_0271,1,0.9985962940437995,False,True,12
question_0273,1,0.9999997917250599,False,True,8
question_0276,0,0.9944683727706227,False,True,10
question_0286,0,0.9870557484721614,False,True,12
question_0287,0,0.9941653387992092,False,True,13
question_0291,0,0.9625981060484952,False,True,10
question_0303,0,0.9301608647009871,False,True,7
question_0311,0,0.9968576963552352,False,True,11
question_0312,0,0.9951258154641573,False,True,12
question_0313,1,0.6047126229788305,False,True,12
question_0330,0,0.9088904250401331,False,True,11
question_0337,1,0.9924592336049135,False,True,13
question_0341,0,0.9872633985622938,False,True,8
question_0342,0,0.980433858586248,False,True,10
question_0346,0,0.5986943767384825,False,True,9
question_0349,0,0.9639250224655407,False,True,12
question_0351,0,0.9895693772071268,False,True,10
question_0357,0,0.9949377428544433,False,True,8
question_0362,1,0.9947950951399038,False,True,9
question_0366,1,0.9999998133400109,False,True,8
question_0377,1,0.6085569635527399,False,True,9
question_0381,0,0.8607708883188383,False,True,12
question_0385,1,0.9103598806261671,False,True,9
question_0386,0,0.991715956422953,False,True,11
question_0397,0,0.9349812841388964,False,True,7
question_0401,0,0.953314923631714,False,True,10
question_0403,0,0.8931602404454718,False,True,9
question_0404,1,0.5546508963778529,False,True,12
question_0408,1,0.9999999860491401,False,True,6
question_0409,0,0.9492274577477253,False,True,9
question_0413,0,0.9544063084210568,False,True,12
question_0417,1,0.7768195941500972,False,True,9
question_0424,1,0.9999750508169397,False,True,10
question_0434,1,0.9988065940032901,False,True,11
question_0435,0,0.9862150533369545,False,True,11
question_0440,1,0.9760469034698595,False,True,12
question_0446,1,0.9950666132609992,False,True,6
question_0449,0,0.5981718879302931,False,True,12
question_0463,0,0.9577789399427382,False,True,8
question_0464,0,0.9428212701745119,False,True,16
question_0465,1,0.9999999665047105,False,True,11
question_0467,0,0.6644713391061281,False,True,10
question_0469,1,0.9999995169135752,False,True,7
question_0474,0,0.9916760950251279,False,True,12
question_0482,1,0.9050669766874353,False,True,10
question_0484,0,0.9953608612018054,False,True,8
question_0486,0,0.9520434417340027,False,True,6
question_0488,0,0.9784733280397654,False,True,8
question_0495,0,0.9754601639875785,False,True,9
question_0500,0,0.9347307224651715,False,True,10
question_0502,1,0.9999769711836775,False,True,10
question_0503,0,0.7360797657826949,False,True,6
question_0507,1,0.950061666751779,False,True,12
question_0508,0,0.8867770751964678,False,True,7
question_0510,0,0.989311171037813,False,True,10
question_0521,0,0.8502647596851239,False,True,12
question_0527,1,0.9909946398671133,False,True,5
question_0533,0,0.9838038745986017,False,True,8
question_0534,1,0.6722992257489445,False,True,12
question_0536,0,0.9600835263429055,False,True,9
question_0537,1,0.8351882880788521,False,True,9
question_0541,0,0.9195179167152653,False,True,7
question_0545,1,0.9999999855216332,False,True,9
question_0546,1,0.9942671693772904,False,True,8
question_0548,0,0.5878778169642382,False,True,7
question_0551,0,0.943291655060454,False,True,8
question_0557,0,0.821146053731231,False,True,6
question_0560,1,0.6107276053344903,False,True,7
question_0561,0,0.9919303235265862,False,True,8
question_0563,1,0.9993993453253958,False,True,9
question_0565,0,0.7878758603828421,False,True,11
question_0569,1,0.999967522245444,False,True,8
question_0577,1,0.9999969499361409,False,True,8
question_0587,1,0.9994810842165126,False,True,4
