id	correct	distractor	decisive_tournament	similarity	question	correct_source	distractor_source
tennis_qa_0000	James Anderson	Gerald Patterson	Wimbledon	1.4853	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/James_Anderson_(tennis)	https://en.wikipedia.org/wiki/Gerald_Patterson
tennis_qa_0001	Ashley Cooper	Roy Emerson	French Open	1.4724	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Ashley_Cooper_(tennis)	https://en.wikipedia.org/wiki/Roy_Emerson
tennis_qa_0002	Sidney Wood	Ellsworth Vines	US Open	1.4702	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Sidney_Wood	https://en.wikipedia.org/wiki/Ellsworth_Vines
tennis_qa_0003	Althea Gibson	Shirley Fry	Australian Open	1.4431	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Althea_Gibson	https://en.wikipedia.org/wiki/Shirley_Fry
tennis_qa_0004	Hazel Hotchkiss Wightman	May Sutton	Wimbledon	1.4273	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Hazel_Hotchkiss_Wightman	https://en.wikipedia.org/wiki/May_Sutton
tennis_qa_0005	Lindsay Davenport	Jennifer Capriati	French Open	1.3949	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lindsay_Davenport	https://en.wikipedia.org/wiki/Jennifer_Capriati
tennis_qa_0006	Jim Courier	Andre Agassi	US Open	1.4515	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Jim_Courier	https://en.wikipedia.org/wiki/Andre_Agassi
tennis_qa_0007	Lesley Turner Bowrey	Margaret Court	US Open	1.3594	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Lesley_Turner_Bowrey	https://en.wikipedia.org/wiki/Margaret_Court
tennis_qa_0008	Fred Stolle	Rod Laver	Australian Open	1.3464	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the French Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Fred_Stolle	https://en.wikipedia.org/wiki/Rod_Laver
tennis_qa_0009	Ken Rosewall	Lew Hoad	Wimbledon	1.4247	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. Both candidates represented Australia. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Ken_Rosewall	https://en.wikipedia.org/wiki/Lew_Hoad
tennis_qa_0010	Bobby Riggs	Don McNeill	French Open	1.3666	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. Both candidates represented United States. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Bobby_Riggs	https://en.wikipedia.org/wiki/Don_McNeill_(tennis)
tennis_qa_0011	Wilfred Baddeley	Horace Rice	Australian Open	1.1815	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Both candidates represented United Kingdom. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Wilfred_Baddeley	https://en.wikipedia.org/wiki/Horace_Rice
tennis_qa_0012	Nancy Richey	Margaret Court	US Open	1.2018	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Nancy_Richey	https://en.wikipedia.org/wiki/Margaret_Court
tennis_qa_0013	Reginald Doherty	Laurence Doherty	US Open	1.2326	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Wimbledon singles title. Both candidates represented United Kingdom of Great Britain and Ireland. However, by the end of 2019, this player had never won the US Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Reginald_Doherty	https://en.wikipedia.org/wiki/Laurence_Doherty
tennis_qa_0014	Tracy Austin	Hana Mandlíková	Australian Open	1.1280	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the Australian Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Tracy_Austin	https://en.wikipedia.org/wiki/Hana_Mandlíková
tennis_qa_0015	Chris O'Neil	Martina Navratilova	French Open	1.1241	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/Chris_O'Neil_(tennis)	https://en.wikipedia.org/wiki/Martina_Navratilova
tennis_qa_0016	Mary Carter Reitano	Maureen Connolly	Wimbledon	1.1241	This accomplished female tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Mary_Carter_Reitano	https://en.wikipedia.org/wiki/Maureen_Connolly
tennis_qa_0017	William Clothier	Frank Parker	French Open	1.1885	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the US Open singles title. However, by the end of 2019, this player had never won the French Open singles title. Who is this person?	https://en.wikipedia.org/wiki/William_Clothier	https://en.wikipedia.org/wiki/Frank_Parker
tennis_qa_0018	Bill Bowrey	Arthur Ashe	Wimbledon	1.1802	This accomplished male tennis player won at least one Grand Slam singles title during a career established before the end of 2019. Like the other candidate, this player won the Australian Open singles title. However, by the end of 2019, this player had never won the Wimbledon singles title. Who is this person?	https://en.wikipedia.org/wiki/Bill_Bowrey	https://en.wikipedia.org/wiki/Arthur_Ashe
