id,prediction_original,original_logodds,original_logprob_1,original_logprob_2,probability_method,n_spans,valid_key_detected,predicted_hallucination,decision,true_hallucination,correct_option_eval_only,candidate_index,candidate_text,span_start,span_end,delete_prediction,delete_logodds,delete_logprob_1,delete_logprob_2,delete_delta,delete_flip,emphasis_prediction,emphasis_logodds,emphasis_logprob_1,emphasis_logprob_2,emphasis_delta,emphasis_flip,candidate_score,passes_candidate_gate,selected_top_k,negated_sentence,negated_prompt,rewrite_valid,notes,negation_prediction,negation_logodds,negation_logprob_1,negation_logprob_2,negation_delta,negation_flip,method_consistent,surface_preserved,predicted_key_type,classification_reason,negation_significant,key_confidence
1,1,-16.164062067980012,-4.320199877838604e-07,-16.1640625,logprobs,5,True,False,constraint_evidence,False,1,0,The motorcycle title correction is ready.,10,51,1,-5.28125005075708,-0.0050811260007321835,-5.2863311767578125,10.882812017222932,False,1,-18.68017578125,0.0,-18.68017578125,-2.516113713269988,False,10.882812017222932,True,True,Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-9.000000296378857,-0.00012368128227535635,-9.000123977661133,7.164061771601155,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
1,1,-16.164062067980012,-4.320199877838604e-07,-16.1640625,logprobs,5,True,False,constraint_evidence,False,1,1,The clerk is waiting in the marked lane,52,91,1,-0.140625,-0.6253048181533813,-0.7659298181533813,16.023437067980012,False,1,-20.0791015625,0.0,-20.0791015625,-3.915039494519988,False,16.023437067980012,True,True,The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-7.453125114378054,-0.0005811501177959144,-7.45370626449585,8.710936953601959,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
1,1,-16.164062067980012,-4.320199877838604e-07,-16.1640625,logprobs,5,True,False,constraint_evidence,False,1,2,to compare the frame VIN,92,116,2,11.968749806702363,-11.968756675720215,-6.869017852295656e-06,28.132811874682375,True,1,-17.79296855638735,-1.9361264946837764e-07,-17.79296875,-1.6289064884073383,False,30.132811874682375,True,True,The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,Negated only the infinitive purpose clause by inserting 'not' after 'to' in the target span; all other text unchanged.,1,-8.703124587002094,-0.00017016702622640878,-8.70329475402832,7.460937480977918,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
1,1,-16.164062067980012,-4.320199877838604e-07,-16.1640625,logprobs,5,True,False,constraint_evidence,False,1,3,with the corrected title,117,141,1,-16.90820293138735,-1.9361264946837764e-07,-16.908203125,-0.7441408634073383,False,1,-18.28124980638735,-1.9361264946837764e-07,-18.28125,-2.1171877384073383,False,2.1171877384073383,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
1,1,-16.164062067980012,-4.320199877838604e-07,-16.1640625,logprobs,5,True,False,constraint_evidence,False,1,4,before releasing it.,142,162,1,-16.847655937183674,-3.128163257315464e-07,-16.84765625,-0.683593869203662,False,1,-20.7705078125,0.0,-20.7705078125,-4.606445744519988,False,4.606445744519988,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,0,The car-hauler is marked ready,10,40,2,5.093750138301402,-5.0998663902282715,-0.006116251926869154,-2.359375091502443,False,2,2.2499999403953552,-2.3502066135406494,-0.10020667314529419,-5.20312528940849,False,5.20312528940849,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,1,but yard staff finish checkout only,42,77,2,10.593749569150532,-10.593774795532227,-2.522638169466518e-05,3.1406243393466866,False,2,1.8281250596046448,-1.977160930633545,-0.14903587102890015,-5.6250001701992005,False,5.6250001701992005,True,True,"Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,13.085937068070052,-13.085939407348633,-2.339278580620885e-06,5.632811838266207,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,2,after testing the emergency breakaway switch,78,122,2,14.18750004483968,-14.187500953674316,-9.088346359931165e-07,6.734374815035835,False,2,6.593749830266461,-6.595118045806885,-0.0013682155404239893,-0.8593753995373845,False,6.734374815035835,True,True,"Scenario: The car-hauler is marked ready, but yard staff finish checkout only without testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is marked ready, but yard staff finish checkout only without testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,13.515624568025032,-13.515625953674316,-1.3856492842023727e-06,6.062499338221187,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,3,with the hauler plugged,123,146,2,12.421874687363925,-12.421878814697266,-4.127333340875339e-06,4.9687494575600795,False,2,12.859375164133326,-12.85937786102295,-2.696889623621246e-06,5.40624993432948,False,5.40624993432948,True,True,"Scenario: The car-hauler is marked ready, but yard staff finish checkout only after testing the emergency breakaway switch without the hauler plugged into their tester.","Scenario: The car-hauler is marked ready, but yard staff finish checkout only after testing the emergency breakaway switch without the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,15.203124687183674,-15.203125,-3.128163257315464e-07,7.749999457379829,False,True,,constraint_key,negation flips the answer or its probability change passes the threshold,True,1.0
2,2,7.453125229803845,-7.453704833984375,-0.0005796041805297136,logprobs,6,True,False,constraint_evidence,True,1,4,into their tester.,147,165,2,10.54687540366649,-10.54690170288086,-2.629921436891891e-05,3.093750173862645,False,2,9.015624573694367,-9.015746116638184,-0.00012154294381616637,1.5624993438905221,False,3.093750173862645,True,False,,,,not top-k,,,,,,,True,,,not selected for negation,,0.0
