model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
llama,exact,scientist,0.8858554170163032,0.9104951226808558,0.7875153751537516,0.789571023515307,0.7851803758387579,0.0
llama,exact,trivia,0.9653519999999999,0.9700334731410467,0.9049999999999999,0.9049999999999999,0.9049195141593328,0.0
llama,exact,gsm8k,0.7429059551660875,0.712263574321577,0.6825902335456475,0.6825902335456475,0.682347007140461,0.0
llama,exact,scientist_to_all,0.9171616558530568,0.9678345498767074,0.8574423480083857,0.7598122087179018,0.7894969108561342,0.0
llama,exact,scientist_to_athlete,0.9515881147540983,0.9864987467732778,0.9025974025974026,0.7771516393442623,0.8237582970931563,0.0
llama,exact,scientist_to_building,0.9294964028776979,0.97588888123008,0.875,0.7895283772981615,0.8146379922035829,0.0
llama,exact,scientist_to_musician,0.8776595744680851,0.9290924530297782,0.7841726618705036,0.7120721554116559,0.7283741532047942,0.0
llama,attention,scientist,0.8813661417185754,0.9028427610470797,0.7921279212792127,0.7949000068476536,0.7900168974364782,0.4137553770793445
llama,attention,trivia,0.9658133333333333,0.9698078044944028,0.9056666666666667,0.9056666666666665,0.9055823620681552,0.40527885475693404
llama,attention,gsm8k,0.7416528053876424,0.7178193278923394,0.6776362349610756,0.6776362349610756,0.6774102962913858,0.35870930128262624
llama,attention,scientist_to_all,0.8886274330622316,0.9565775341309183,0.8448637316561844,0.7513136251484968,0.7756064690026954,0.31674100505501046
llama,attention,scientist_to_athlete,0.9375,0.9827124085278084,0.8896103896103896,0.7920081967213115,0.8170126511497868,0.31674100505501046
llama,attention,scientist_to_building,0.9058353317346123,0.9641616248196355,0.8641304347826086,0.7823341326938449,0.8021250053770379,0.31674100505501046
llama,attention,scientist_to_musician,0.839731729879741,0.9166526476350989,0.7697841726618705,0.690795559666975,0.7053524112347642,0.31674100505501046
mistral,exact,scientist,0.7777982820513712,0.8184512626396866,0.705719557195572,0.712863375382569,0.7046820171705926,0.0
mistral,exact,trivia,0.9578893333333333,0.9634280307286142,0.895,0.895,0.8948844029862845,0.0
mistral,exact,gsm8k,0.74429283435734,0.7013609587539472,0.6942675159235668,0.6942675159235668,0.6942493932588919,0.0
mistral,exact,scientist_to_all,0.7682079868409029,0.9088275932119606,0.7295597484276729,0.6681782874897194,0.6614098705243407,0.0
mistral,exact,scientist_to_athlete,0.7500000000000001,0.9240322107145696,0.7402597402597403,0.6285860655737705,0.6225490196078431,0.0
mistral,exact,scientist_to_building,0.842845723421263,0.9495042291283167,0.7880434782608695,0.7545163868904876,0.7338969852041384,0.0
mistral,exact,scientist_to_musician,0.6829324699352451,0.8238982088191277,0.6402877697841727,0.598172987974098,0.598172987974098,0.0
mistral,attention,scientist,0.7734726540693052,0.8106436813013835,0.7054120541205412,0.7124078323230142,0.7043560688584415,0.40706666335131914
mistral,attention,trivia,0.9538533333333333,0.9608927471161396,0.8853333333333332,0.8853333333333332,0.8852248414923548,0.39923948702654344
mistral,attention,gsm8k,0.7373358997359971,0.6962797390970851,0.68895966029724,0.68895966029724,0.6888546919523314,0.3454569916584447
mistral,attention,scientist_to_all,0.71897560084072,0.8815539291495726,0.6939203354297694,0.644098967376405,0.630977108944468,0.2969967291109129
mistral,attention,scientist_to_athlete,0.7474385245901639,0.923515628639302,0.7207792207792207,0.6278176229508197,0.6139900903526668,0.2969967291109129
mistral,attention,scientist_to_building,0.781294964028777,0.9250312340523421,0.717391304347826,0.7077537969624301,0.6695676198369941,0.2969967291109129
mistral,attention,scientist_to_musician,0.6288159111933396,0.7761909342212832,0.6330935251798561,0.5875346901017576,0.5879686137750654,0.2969967291109129
qwen,exact,scientist,0.7872445622086119,0.8204480975033855,0.7100246002460024,0.712848287332189,0.7077684455078344,0.0
qwen,exact,trivia,0.9427453333333333,0.9430929376377396,0.8703333333333333,0.8703333333333333,0.8702640597689357,0.0
qwen,exact,gsm8k,0.7570512213702608,0.7237347576862233,0.6981599433828732,0.6981599433828732,0.6981143207130006,0.0
qwen,exact,scientist_to_all,0.7592067988668556,0.9065935393583886,0.6729559748427673,0.6770195558804715,0.6365323746629674,0.0
qwen,exact,scientist_to_athlete,0.7184938524590164,0.9138927316188795,0.6493506493506493,0.6403688524590163,0.5865977331477431,0.0
qwen,exact,scientist_to_building,0.8284572342126298,0.9425339555709991,0.7119565217391305,0.6966426858513189,0.6615651570362658,0.0
qwen,exact,scientist_to_musician,0.6947271045328398,0.8225402951365772,0.6474820143884892,0.6712534690101757,0.6400295967443581,0.0
qwen,attention,scientist,0.7536318678193936,0.7881451907684717,0.6841943419434194,0.6873680520978773,0.6820516412605686,0.4103612900017406
qwen,attention,trivia,0.938936,0.93274607531947,0.866,0.866,0.8659553435629057,0.3984640620339994
qwen,attention,gsm8k,0.7572240178025402,0.7377375302187165,0.694621372965322,0.694621372965322,0.6945365428698773,0.3550991120279846
qwen,attention,scientist_to_all,0.6872658320387462,0.8694983987942022,0.6121593291404612,0.6542538609156539,0.5912028351052742,0.3090692833779364
qwen,attention,scientist_to_athlete,0.653688524590164,0.8855892547350096,0.6103896103896104,0.6273053278688525,0.5602512849800114,0.3090692833779364
qwen,attention,scientist_to_building,0.7509192645883294,0.9099940473387618,0.657608695652174,0.6982414068745004,0.6291153415453528,0.3090692833779364
qwen,attention,scientist_to_musician,0.6241905642923219,0.7610132024415498,0.5539568345323741,0.605804810360777,0.5533789386401327,0.3090692833779364
falcon3,exact,scientist,0.6478982926130067,0.698280998121746,0.6076260762607627,0.609943721572082,0.6053671019297527,0.0
falcon3,exact,trivia,0.9449613333333332,0.9504340045722001,0.866,0.866,0.8659772444592108,0.0
falcon3,exact,gsm8k,0.8090779732631329,0.8035071047707739,0.7360226468506722,0.7360226468506722,0.7359681620116597,0.0
falcon3,exact,scientist_to_all,0.6142739650918396,0.8258845424321186,0.6226415094339622,0.5645503975143927,0.5541130037390942,0.0
falcon3,exact,scientist_to_athlete,0.633452868852459,0.8557480928033193,0.6623376623376623,0.6024590163934427,0.5744047619047619,0.0
falcon3,exact,scientist_to_building,0.6126298960831336,0.8489046301544513,0.625,0.5414068745003997,0.5348598644440373,0.0
falcon3,exact,scientist_to_musician,0.595513413506013,0.7536277546153354,0.5755395683453237,0.5492599444958373,0.5450208044382802,0.0
falcon3,attention,scientist,0.6434937425212596,0.6850384463756,0.6048585485854858,0.6086641388379183,0.6031037583389253,0.4139915955939031
falcon3,attention,trivia,0.9465933333333334,0.9518575132895627,0.8733333333333334,0.8733333333333334,0.8733081654030084,0.406516552341187
falcon3,attention,gsm8k,0.8080952874656472,0.7941893357863482,0.7423920736022646,0.7423920736022648,0.7423024171478522,0.35496457081352584
falcon3,attention,scientist_to_all,0.622247098601846,0.8268856149836781,0.6163522012578616,0.5890752078954582,0.5663313212608987,0.3021706809396373
falcon3,attention,scientist_to_athlete,0.6296106557377049,0.877318802483082,0.6298701298701299,0.5819672131147541,0.5496382945975065,0.3021706809396373
falcon3,attention,scientist_to_building,0.6612310151878497,0.8654129106429942,0.6739130434782609,0.6414068745003996,0.6149553571428572,0.3021706809396373
falcon3,attention,scientist_to_musician,0.5656799259944496,0.7260430552710435,0.5251798561151079,0.5216234967622572,0.5093068035943518,0.3021706809396373
