model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
llama,exact,scientist,0.8938334302696722,0.9191165627363996,0.7994428969359331,0.8026328855347339,0.7967946315249609,0.0
llama,exact,trivia,0.9484078031795874,0.9560079600683675,0.8756666666666666,0.8760700534559455,0.8756153609883383,0.0
llama,exact,gsm8k,0.9491463891640962,0.7883012773251563,0.8711960368011323,0.9062234307918239,0.8317690963674713,0.0
llama,exact,scientist_to_all,0.9172073471625697,0.9677927103015355,0.859538784067086,0.7612286393128027,0.791859064118011,0.0
llama,exact,scientist_to_athlete,0.9526127049180328,0.9871467344767798,0.9025974025974026,0.7771516393442623,0.8237582970931563,0.0
llama,exact,scientist_to_building,0.9310951239008793,0.9763287474882802,0.8804347826086957,0.7931254996003197,0.8210433244916003,0.0
llama,exact,scientist_to_musician,0.8711840888066605,0.925354242877047,0.7841726618705036,0.7120721554116559,0.7283741532047942,0.0
llama,attention,scientist,0.8881177327299636,0.9115005463005569,0.7978953884246364,0.8015175265629212,0.7953376243329021,0.4136178734589149
llama,attention,trivia,0.9469405683098628,0.9541806337339155,0.8733333333333334,0.873697645481878,0.8732688111637011,0.40571130331046823
llama,attention,gsm8k,0.9509475326208395,0.7807642560353055,0.8740268931351735,0.9079941257896106,0.8348874152425912,0.35848506592519513
llama,attention,scientist_to_all,0.8954354381796582,0.9591949742907904,0.8469601677148847,0.7448825733345518,0.773219577322609,0.31674100505501046
llama,attention,scientist_to_athlete,0.9441598360655739,0.9839639142860725,0.8961038961038961,0.7845799180327868,0.8203557888597259,0.31674100505501046
llama,attention,scientist_to_building,0.9069544364508393,0.965049678143836,0.8586956521739131,0.763709032773781,0.7885057471264367,0.31674100505501046
llama,attention,scientist_to_musician,0.8436632747456059,0.9185323829566461,0.7769784172661871,0.6962303422756706,0.7120614767791513,0.31674100505501046
qwen,exact,scientist,0.8583932916688549,0.8664329644029788,0.7749169435215947,0.7759677408952242,0.7748965102888983,0.0
qwen,exact,trivia,0.910419918784231,0.9020020435604709,0.831,0.8306042367380657,0.8302046918251897,0.0
qwen,exact,gsm8k,0.784142786611388,0.9115183496960055,0.7735314932767162,0.719693126917675,0.6943481992662487,0.0
qwen,exact,scientist_to_all,0.839925387338688,0.9264240837408764,0.7628571428571429,0.6871026685446724,0.6992099731825758,0.0
qwen,exact,scientist_to_athlete,0.8391544117647058,0.9262759173872861,0.76,0.6994485294117647,0.7085964060223409,0.0
qwen,exact,scientist_to_building,0.9042699724517906,0.9695955319163343,0.8471337579617835,0.7544765840220387,0.7697947214076246,0.0
qwen,exact,scientist_to_musician,0.7115384615384616,0.7846879569018421,0.6236559139784946,0.5963883677298312,0.586141131595677,0.0
qwen,attention,scientist,0.8335862501693022,0.8353015817741443,0.7524916943521595,0.7535613362485569,0.7524793360339356,0.4093344895826385
qwen,attention,trivia,0.9049617255936959,0.8956740218147828,0.8293333333333334,0.8290552900218328,0.828560627244049,0.40099910527885474
