item_index,item_id,condition,text,prior_shortcut_margin,correct_margin,prediction,is_correct,detector_probability,detector_trigger
9,9,original,The inventory tag must be applied to the top panel before the clerk scans it.,-0.125,-1.5,2,False,0.9431214439392224,True
9,9,common_control,It is essential to apply the inventory tag to the top panel before scanning.,-0.125,-0.5,2,False,0.9431214439392224,True
9,9,prior_low,The inventory tag must be securely fastened to the top panel before scanning.,-0.875,-0.375,2,False,0.9431214439392224,True
9,9,prior_mid,The inventory tag needs to be attached to the top panel before the clerk scans it.,-0.125,-0.875,2,False,0.9431214439392224,True
9,9,prior_high,The tag must be placed on the top panel before the clerk scans it.,0.25,-1.125,2,False,0.9431214439392224,True
9,9,pdp,The inventory tag must be securely fastened to the top panel before scanning.,-0.875,-0.375,2,False,0.9431214439392224,True
16,16,original,The shop electrician is waiting at the 7-pin tester to load the circuit.,0.75,-0.5,2,False,0.4891966514473082,False
16,16,common_control,The shop electrician is now waiting at the 7-pin tester to load the circuit.,0.875,-0.375,2,False,0.4891966514473082,False
16,16,prior_low,The shop electrician is waiting by the 7-pin tester to load the circuit.,0.625,-0.5,2,False,0.4891966514473082,False
16,16,prior_mid,The shop electrician is present at the 7-pin tester to load the circuit.,0.75,-0.5,2,False,0.4891966514473082,False
16,16,prior_high,"The shop electrician is at the 7-pin tester, ready to load the circuit.",1.0,-0.625,2,False,0.4891966514473082,False
16,16,pdp,The shop electrician is waiting by the 7-pin tester to load the circuit.,0.625,-0.5,2,False,0.4891966514473082,False
43,43,original,Their office is a short walk from my apartment.,5.875,-1.875,2,False,0.5379900896100873,True
43,43,common_control,The office is just a short walk from my place.,5.5,-1.5,2,False,0.5379900896100873,True
43,43,prior_low,The partner garage is a short walk from my residence.,1.0,-1.75,2,False,0.5379900896100873,True
43,43,prior_mid,It's just a short stroll to the office from my apartment.,4.25,-1.625,2,False,0.5379900896100873,True
43,43,prior_high,Their office is within walking distance from my apartment.,7.25,-2.125,2,False,0.5379900896100873,True
43,43,pdp,The partner garage is a short walk from my residence.,1.0,-1.75,2,False,0.5379900896100873,True
54,54,original,while the manufacturer rebate requires the original dated receipt.,4.25,-4.0,2,False,0.7979562211923824,True
54,54,common_control,the rebate stipulates that the original dated receipt is required,4.375,-4.5,2,False,0.7979562211923824,True
54,54,prior_low,"according to the rebate terms, the original dated receipt is required",3.75,-4.75,2,False,0.7979562211923824,True
54,54,prior_mid,"as per the rebate requirements, the original dated receipt is necessary",4.375,-5.375,2,False,0.7979562211923824,True
54,54,prior_high,the rebate requires the original dated receipt as proof,5.625,-4.875,2,False,0.7979562211923824,True
54,54,pdp,"according to the rebate terms, the original dated receipt is required",3.75,-4.75,2,False,0.7979562211923824,True
62,62,original,The confirmation is done at the drive-through guard post.,-3.25,0.5,1,True,0.6225959767167805,True
62,62,common_control,The drive-through guard post is where the van's windshield RFID sticker is checked and confirmed.,-2.875,0.25,1,True,0.6225959767167805,True
62,62,prior_low,The confirmation is done by scanning the van at the drive-through guard post.,-3.125,1.625,1,True,0.6225959767167805,True
62,62,prior_mid,The confirmation is made at the drive-through guard post by checking the van's windshield RFID sticker.,-1.75,1.0,1,True,0.6225959767167805,True
62,62,prior_high,Security checks the van's windshield RFID sticker at the drive-through guard post.,-0.125,0.625,1,True,0.6225959767167805,True
62,62,pdp,The confirmation is done by scanning the van at the drive-through guard post.,-3.125,1.625,1,True,0.6225959767167805,True
76,76,original,Yard staff are at the test pad to read the hour meter and test the brake-away battery.,-2.125,2.125,2,True,0.5172885438324462,False
76,76,common_control,Yard staff are at the test pad to inspect the hour meter and verify the brake-away battery.,-2.0,2.125,2,True,0.5172885438324462,False
76,76,prior_low,"The yard staff are at the test pad, checking the hour meter and the brake-away battery.",-2.5,2.125,2,True,0.5172885438324462,False
76,76,prior_mid,Yard staff are at the test pad to inspect the hour meter and verify the brake-away battery.,-2.0,2.125,2,True,0.5172885438324462,False
76,76,prior_high,"Yard staff are at the test pad, where they're checking the hour meter and testing the brake-away battery.",-2.0,2.25,2,True,0.5172885438324462,False
76,76,pdp,"The yard staff are at the test pad, checking the hour meter and the brake-away battery.",-2.5,2.125,2,True,0.5172885438324462,False
76,76,context_link,"Although yard staff are at the test pad, that fact alone does not determine the decision, because the generator-trailer return is logged and its meter and battery are on the generator trailer.",,1.875,2,True,0.5172885438324462,False
