model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
llama,exact,scientist,0.8938334302696722,0.9191165627363996,0.7994428969359331,0.8026328855347339,0.7967946315249609,0.0
llama,exact,trivia,0.9484078031795874,0.9560079600683675,0.8756666666666666,0.8760700534559455,0.8756153609883383,0.0
llama,exact,gsm8k,0.9491463891640962,0.7883012773251563,0.8711960368011323,0.9062234307918239,0.8317690963674713,0.0
llama,exact,scientist_to_all,0.9172073471625697,0.9677927103015355,0.859538784067086,0.7612286393128027,0.791859064118011,0.0
llama,exact,scientist_to_athlete,0.9526127049180328,0.9871467344767798,0.9025974025974026,0.7771516393442623,0.8237582970931563,0.0
llama,exact,scientist_to_building,0.9310951239008793,0.9763287474882802,0.8804347826086957,0.7931254996003197,0.8210433244916003,0.0
llama,exact,scientist_to_musician,0.8711840888066605,0.925354242877047,0.7841726618705036,0.7120721554116559,0.7283741532047942,0.0
llama,attention,scientist,0.8881177327299636,0.9115005463005569,0.7978953884246364,0.8015175265629212,0.7953376243329021,0.4136178734589149
llama,attention,trivia,0.9469405683098628,0.9541806337339155,0.8733333333333334,0.873697645481878,0.8732688111637011,0.40571130331046823
llama,attention,gsm8k,0.9509475326208395,0.7807642560353055,0.8740268931351735,0.9079941257896106,0.8348874152425912,0.35848506592519513
llama,attention,scientist_to_all,0.8954354381796582,0.9591949742907904,0.8469601677148847,0.7448825733345518,0.773219577322609,0.31674100505501046
llama,attention,scientist_to_athlete,0.9441598360655739,0.9839639142860725,0.8961038961038961,0.7845799180327868,0.8203557888597259,0.31674100505501046
llama,attention,scientist_to_building,0.9069544364508393,0.965049678143836,0.8586956521739131,0.763709032773781,0.7885057471264367,0.31674100505501046
llama,attention,scientist_to_musician,0.8436632747456059,0.9185323829566461,0.7769784172661871,0.6962303422756706,0.7120614767791513,0.31674100505501046
