item_index,item_id,condition,text,prior_shortcut_margin,correct_margin,prediction,is_correct,detector_probability,detector_trigger
1,1,original,The office is next to the lot.,0.25,-0.75,2,False,0.541953692995408,True
1,1,common_control,The office is conveniently located next to the lot.,0.25,-1.125,2,False,0.541953692995408,True
1,1,prior_low,The office is situated right next to the lot.,0.125,-0.75,2,False,0.541953692995408,True
1,1,prior_mid,The office is located adjacent to the lot.,0.625,-1.0,2,False,0.541953692995408,True
1,1,prior_high,The office is just a short walk away from the lot.,1.25,-0.375,2,False,0.541953692995408,True
1,1,pdp,The office is situated right next to the lot.,0.125,-0.75,2,False,0.541953692995408,True
1,1,context_link,This adjacency affects the feasibility of walking to the office.,,-0.75,2,False,0.541953692995408,True
1,1,joint,PDP + CKL,,-0.75,2,False,0.541953692995408,True
9,9,original,The inventory tag must be applied to the top panel before the clerk scans it.,-0.125,-1.5,2,False,0.9431214439392224,True
9,9,common_control,The inventory tag needs to be attached to the top panel before scanning can be done.,-0.125,-0.625,2,False,0.9431214439392224,True
9,9,prior_low,The top panel must have the inventory tag applied before scanning takes place.,-1.0,-0.5,2,False,0.9431214439392224,True
9,9,prior_mid,"Before scanning, the inventory tag should be applied to the top panel.",-0.125,-1.125,2,False,0.9431214439392224,True
9,9,prior_high,"The inventory tag must be affixed to the top panel before the clerk scans it, please.",0.125,-0.375,2,False,0.9431214439392224,True
9,9,pdp,The top panel must have the inventory tag applied before scanning takes place.,-1.0,-0.5,2,False,0.9431214439392224,True
9,9,context_link,This ensures the tag's authenticity and correct association with the asset during the scanning process.,,-1.125,2,False,0.9431214439392224,True
9,9,joint,PDP + CKL,,-0.125,2,False,0.9431214439392224,True
25,25,original,The mailing checklist has a blank square for the product-code panel cut from the box.,-4.625,4.75,2,True,0.20236341269787936,False
25,25,common_control,The mailing checklist has a space for the product-code label that was cut out of the box.,-4.5,5.0,2,True,0.20236341269787936,False
25,25,prior_low,The mailing checklist has a blank spot for the product-code label that you cut out of the box.,-5.0,4.875,2,True,0.20236341269787936,False
25,25,prior_mid,The mailing checklist has a space for the product-code label that you should remove from the box.,-4.0,4.5,2,True,0.20236341269787936,False
25,25,prior_high,"The product-code label is missing from the box, and the mailing form has a blank space for it.",-2.875,2.625,2,True,0.20236341269787936,False
25,25,pdp,The mailing checklist has a blank spot for the product-code label that you cut out of the box.,-5.0,4.875,2,True,0.20236341269787936,False
25,25,context_link,This blank space on the mailing checklist corresponds to the physical product-code panel that was cut from the box.,,5.125,2,True,0.20236341269787936,False
25,25,joint,PDP + CKL,,4.75,2,True,0.20236341269787936,False
43,43,original,Their office is a short walk from my apartment.,5.875,-1.875,2,False,0.5379900896100873,True
43,43,common_control,Walking to the office is a reasonable choice given its proximity to my apartment.,6.0,-3.875,2,False,0.5379900896100873,True
43,43,prior_low,The partner garage's office is a brief stroll from where I live.,4.25,-1.625,2,False,0.5379900896100873,True
43,43,prior_mid,I can easily walk to the office from my apartment in just a few minutes.,6.5,-2.0,2,False,0.5379900896100873,True
43,43,prior_high,The office is conveniently located within walking distance from my apartment.,7.75,-1.625,2,False,0.5379900896100873,True
43,43,pdp,My apartment is just a short walk away from the partner garage's office.,4.375,-2.0,2,False,0.5379900896100873,True
43,43,context_link,The proximity of the office to my apartment clarifies that walking is a feasible alternative to driving.,,-5.125,2,False,0.5379900896100873,True
43,43,joint,PDP + CKL,,-4.75,2,False,0.5379900896100873,True
45,45,original,The fleet office is across the apron.,-1.0,0.5,2,True,0.5199211226025088,False
45,45,common_control,The office is situated on the opposite side of the apron.,-1.125,0.5,2,True,0.5199211226025088,False
45,45,prior_low,The fleet office is accessible from the opposite direction.,-2.0,0.25,2,True,0.5199211226025088,False
45,45,prior_mid,The fleet office is located across the apron area.,-1.375,0.5,2,True,0.5199211226025088,False
45,45,prior_high,The office is on the opposite end of the apron.,-1.125,0.75,2,True,0.5199211226025088,False
45,45,pdp,The fleet office is accessible from the opposite direction.,-2.0,0.25,2,True,0.5199211226025088,False
45,45,context_link,The fleet office's location relative to the cart's movement affects the feasibility of driving it over.,,0.625,2,True,0.5199211226025088,False
45,45,joint,PDP + CKL,,0.625,2,True,0.5199211226025088,False
46,46,original,The cart-barn clerk scans paper proof and discards it,1.75,-2.0,2,False,0.6733455789975105,True
46,46,common_control,The clerk scans a paper receipt and throws it in the trash,1.625,-1.75,2,False,0.6733455789975105,True
46,46,prior_low,The clerk scans a paper document and then disposes of it,0.25,-1.875,2,False,0.6733455789975105,True
46,46,prior_mid,The clerk scans a document on paper and then tosses it,1.125,-2.125,2,False,0.6733455789975105,True
46,46,prior_high,The clerk scans and discards a paper record,1.75,-2.125,2,False,0.6733455789975105,True
46,46,pdp,The clerk scans a paper document and then disposes of it,0.25,-1.875,2,False,0.6733455789975105,True
46,46,context_link,This indicates that the cart permit must remain active on the steering column.,,-1.75,2,False,0.6733455789975105,True
46,46,joint,PDP + CKL,,-1.75,2,False,0.6733455789975105,True
49,49,original,The fin tag must be attached to the board before the rack scan.,-3.5,6.75,2,True,0.09765268131842778,False
49,49,common_control,The fin must be secured to the board before scanning it.,-4.125,4.5,2,True,0.09765268131842778,False
49,49,prior_low,Attach the fin to the board before scanning it.,-5.75,5.25,2,True,0.09765268131842778,False
49,49,prior_mid,The fin must be attached to the board prior to scanning.,-4.75,6.125,2,True,0.09765268131842778,False
49,49,prior_high,The fin needs to be attached to the board before scanning.,-4.0,3.625,2,True,0.09765268131842778,False
49,49,pdp,Attach the fin to the board before scanning it.,-5.75,5.25,2,True,0.09765268131842778,False
49,49,context_link,This instruction should be interpreted in conjunction with the context of checking a paddleboard into rental storage.,,6.875,2,True,0.09765268131842778,False
49,49,joint,PDP + CKL,,4.625,2,True,0.09765268131842778,False
54,54,original,while the manufacturer rebate requires the original dated receipt.,4.25,-4.0,2,False,0.7979562211923824,True
54,54,common_control,"for the rebate to be valid, the original dated receipt is necessary",4.125,-5.625,2,False,0.7979562211923824,True
54,54,prior_low,"for the rebate to be processed, the original dated receipt is required",3.25,-5.625,2,False,0.7979562211923824,True
54,54,prior_mid,the manufacturer's rebate policy demands the original dated receipt,4.5,-3.625,2,False,0.7979562211923824,True
54,54,prior_high,the rebate requires the original dated receipt to be kept,6.0,-4.0,2,False,0.7979562211923824,True
54,54,pdp,"for the rebate to be processed, the original dated receipt is required",3.25,-5.625,2,False,0.7979562211923824,True
54,54,context_link,"This link highlights the importance of preserving the original receipt for the rebate, while the clerk's action of discarding proof pages indicates that only the original receipt will suffice.",,-3.75,2,False,0.7979562211923824,True
54,54,joint,PDP + CKL,,-4.25,2,False,0.7979562211923824,True
56,56,original,The marina approved my jet-ski repair,0.75,0.25,1,True,0.37544203121302044,False
56,56,common_control,My jet ski repair has been cleared by the marina,0.75,0.375,1,True,0.37544203121302044,False
56,56,prior_low,The marina has cleared the way for my jet ski repair,-1.0,0.25,1,True,0.37544203121302044,False
56,56,prior_mid,I've received approval from the marina for my jet ski repair,-0.0,-0.25,2,False,0.37544203121302044,False
56,56,prior_high,My jet ski repair has been sanctioned by the marina,1.25,0.25,1,True,0.37544203121302044,False
56,56,pdp,The marina has cleared the way for my jet ski repair,-1.0,0.25,1,True,0.37544203121302044,False
56,56,context_link,This approval means intake needs to verify the hull number and engine hours before opening the bay ticket.,,0.125,1,True,0.37544203121302044,False
56,56,joint,PDP + CKL,,0.125,1,True,0.37544203121302044,False
58,58,original,The marina store is a short walk from my dock.,1.25,-0.625,2,False,0.5303471866893004,False
