key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0000,0,0.5541961071706923,False,False,11
question_0001,0,0.9999999936820281,True,False,14
question_0003,1,0.7023784140436246,False,False,12
question_0009,1,0.9796511416452387,False,False,12
question_0010,1,0.6780506779349897,False,False,10
question_0011,1,0.9546285677764584,False,False,13
question_0015,0,0.9999995049347792,False,False,11
question_0017,1,0.9803673218491114,False,False,15
question_0018,1,0.9892887890467541,False,False,10
question_0020,1,0.9719488055636428,False,False,9
question_0021,0,0.9989136047400544,False,False,11
question_0032,0,0.9999978624369101,False,False,14
question_0034,1,0.9854174032216473,False,False,10
question_0036,1,0.9950478916168172,False,False,9
question_0038,1,0.9822427320242295,False,False,13
question_0039,0,0.6454678132049689,False,False,12
question_0043,1,0.7374446501754489,False,False,10
question_0046,1,0.9070580886999909,True,False,9
question_0049,0,0.9931421731371909,False,False,13
question_0051,1,0.9467871194398209,False,False,11
question_0052,1,0.6123714574686103,False,False,10
question_0053,1,0.9895623084319958,False,False,9
question_0054,1,0.9892715810819591,False,False,14
question_0055,1,0.9528680699142359,False,False,8
question_0057,0,0.9951579365937092,False,False,10
question_0058,1,0.9830414883406423,False,False,10
question_0059,1,0.9681257578174812,True,False,10
question_0064,1,0.8798192718123902,False,False,10
question_0066,1,0.9856028987918837,False,False,11
question_0068,1,0.9455736895458873,False,False,9
question_0070,0,0.6070399575602279,True,False,14
question_0072,0,0.9957237796849541,False,False,13
question_0076,1,0.9522417606375416,False,False,10
question_0085,1,0.8703067882007013,False,False,8
question_0097,0,0.9999434970249562,False,False,7
question_0099,1,0.648505500123158,False,False,8
question_0102,1,0.9912139395365098,False,False,12
question_0105,1,0.9570682824987405,False,False,12
question_0107,1,0.9846108828140361,False,False,10
question_0109,1,0.9937342276099843,False,False,11
question_0110,1,0.6085487758538926,False,False,8
question_0112,1,0.5558936182877393,False,False,10
question_0116,0,0.9661833149762759,False,False,7
question_0117,1,0.947002463188798,False,False,11
question_0118,0,0.998328391624855,True,False,13
question_0122,1,0.988063153364749,False,False,11
question_0123,1,0.9437056080294679,False,False,13
question_0124,1,0.98891565734822,False,False,9
question_0134,1,0.9434723614672398,False,False,8
question_0135,1,0.9782537209657804,False,False,10
question_0136,1,0.7613411230709628,False,False,12
question_0137,0,0.9416532947137228,True,False,12
question_0141,1,0.9863232422541757,False,False,9
question_0146,1,0.973159464399997,False,False,12
question_0148,1,0.9655288027131635,False,False,9
question_0149,1,0.7701585939941817,False,False,17
question_0150,1,0.9490937012886785,False,False,10
question_0152,1,0.9868755224653725,False,False,11
question_0153,0,0.8852486078598835,False,False,7
question_0157,0,0.99999932607988,False,False,11
question_0162,0,0.5428715319929196,False,False,11
question_0163,1,0.6082327697859803,True,False,10
question_0165,1,0.9901767839955189,False,False,11
question_0168,1,0.9960458698560882,False,False,12
question_0169,0,0.557603655487958,False,False,11
question_0177,1,0.9814055919473583,False,False,11
question_0182,0,0.9665588723404682,False,False,14
question_0183,1,0.8124044530824074,False,False,14
question_0185,1,0.5759008028927516,False,False,11
question_0187,1,0.7898207493257646,False,False,10
question_0188,0,0.9999999783357156,True,False,12
question_0190,1,0.9570884536462111,True,False,14
question_0194,0,0.8686053330826241,False,False,11
question_0198,1,0.9234744502947757,False,False,11
question_0200,0,0.9980211089454394,False,False,13
question_0201,0,0.9999198402339767,False,False,3
question_0203,0,0.9802339565071335,False,False,11
question_0204,0,0.8557071596149997,False,False,12
