key,profile_1,profile_2,prediction_original,predicted_name,original_logprob_1,original_logprob_2,original_logprob_3,original_prob_1,original_prob_2,original_prob_3,original_choice_margin,probability_method,question_region,question_region_start,question_region_end,n_spans,n_delete_uncertain,n_delete_person_flips,n_informative_deletions,n_valid_negations,predicted_hallucination,decision,correct_option_eval_only,wrong_option_eval_only,rgt_ans_eval_only,wrg_ans_eval_only,true_hallucination,candidate_index,candidate_text,span_start,span_end,local_span_start,local_span_end,deleted_prompt,delete_prediction,delete_logprob_1,delete_logprob_2,delete_logprob_3,delete_prob_1,delete_prob_2,delete_prob_3,delete_choice_margin,delete_uncertain,delete_person_flip,delete_same_as_original,delete_flip,delete_original_choice_logprob_delta,deletion_stage_pass,deletion_stage_reason,selected_for_negation,negated_sentence,negated_prompt,rewrite_valid,negation_notes,negation_prediction,negation_logprob_1,negation_logprob_2,negation_logprob_3,negation_prob_1,negation_prob_2,negation_prob_3,negation_choice_margin,negation_uncertain,negation_person_flip,negation_same_as_original,negation_flip,negation_original_choice_logprob_delta,method_consistent,containing_sentence,sentence_start,sentence_end
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,0,"This biochemist, geneticist",199,226,0,27,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,False,False,True,False,0.0,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,1,and university teacher has made remarkable contributions to science.,228,296,29,97,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist,  Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,0.10008345855698246,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,2,Throughout their distinguished career,297,334,98,135,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. , they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,False,False,True,False,0.0,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,3,they have been honored,336,358,137,159,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career,  with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,0.10008345855698246,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,4,with the Otto Warburg Medal,359,386,160,187,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored , the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,0.10008345855698246,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,5,the Gottfried Wilhelm Leibniz Prize,388,423,189,224,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, , and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.24512245803298496,-3.1354942159291497,-1.749199854809259,0.782608695652174,0.043478260869565216,0.17391304347826086,1.5040773967762742,False,False,True,False,-0.054067221270275745,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,6,and the Louis-Jeantet Prize for Medicine.,425,466,226,267,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize,  Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,0.10008345855698246,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,7,Elected as a Foreign Member of the Royal Society,467,515,268,316,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine.  and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.13976194237515874,-3.1354942159291497,-2.4423470353692043,0.8695652173913043,0.043478260869565216,0.08695652173913043,2.3025850929940455,False,False,True,False,0.05129329438755048,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,8,and a Fellow of the American Academy of Arts,516,560,317,361,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society  and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.3629054936893685,-3.1354942159291497,-1.3437347467010947,0.6956521739130435,0.043478260869565216,0.2608695652173913,0.9808292530117262,False,False,True,False,-0.17185025692665926,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
question_0000,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,1,Emmanuelle Charpentier,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,sampling,"This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts and Sciences, they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. ",199,781,15,0,0,0,0,False,no_delete_uncertain_or_person_flip,1,2,Emmanuelle Charpentier,Christiane Nüsslein-Volhard,False,9,and Sciences,561,573,362,374,"Choose one of the following two options only if the question uniquely identifies that person; otherwise use the uncertainty option.
1. Emmanuelle Charpentier
2. Christiane Nüsslein-Volhard
Question:
This biochemist, geneticist, and university teacher has made remarkable contributions to science. Throughout their distinguished career, they have been honored with the Otto Warburg Medal, the Gottfried Wilhelm Leibniz Prize, and the Louis-Jeantet Prize for Medicine. Elected as a Foreign Member of the Royal Society and a Fellow of the American Academy of Arts , they were also awarded the Pour le Mérite for Sciences and Arts order and an honorary doctorate from the University of Cambridge. However, they were never awarded the Nobel Prize in Physiology or Medicine. Who is this person?

Evaluation answer protocol:
1 = Emmanuelle Charpentier
2 = Christiane Nüsslein-Volhard
3 = the information in the question does not uniquely identify one of the two people
Output only one digit: 1, 2, or 3.",1,-0.19105523676270922,-3.1354942159291497,-2.03688192726104,0.8260869565217391,0.043478260869565216,0.13043478260869565,1.845826690498331,False,False,True,False,0.0,False,deletion neither uncertain nor person flip,False,,,,deletion neither uncertain nor person flip,,,,,,,,,,,,,,,,,
