key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0000,1,0.5613044723013294,False,False,11
question_0001,0,1.0,True,False,14
question_0003,0,0.5277673349942867,False,False,12
question_0009,2,0.979131856211428,False,False,12
question_0010,1,0.9900688742694601,False,False,10
question_0011,2,0.9579199720255612,False,False,13
question_0015,0,0.9999389036788625,False,False,11
question_0017,2,0.9840892490279239,False,False,15
question_0018,2,0.7438609190903283,False,False,10
question_0020,2,0.9415869918858513,False,False,9
question_0021,0,0.9999970065167365,False,False,11
question_0032,0,0.9999999999999005,False,False,14
question_0034,1,0.8990010136074684,False,False,10
question_0036,2,0.992004876724266,False,False,9
question_0038,2,0.9777089939369811,False,False,13
question_0039,0,0.9937603938919435,False,False,12
question_0043,0,0.929726158008044,False,False,10
question_0046,2,0.7529407165860423,True,False,9
question_0049,0,0.9999943195660963,False,False,13
question_0051,2,0.9089947088781076,False,False,11
question_0052,0,0.6710145915007807,False,False,10
question_0053,2,0.9947824038818146,False,False,9
question_0054,2,0.9862538691486393,False,False,14
question_0055,1,0.9241902379174456,False,False,8
question_0057,0,0.9999996595122742,False,False,10
question_0058,2,0.7224213106445553,False,False,10
question_0059,2,0.9366010186175853,True,False,10
question_0064,1,0.9516829286533179,False,False,10
question_0066,2,0.9869860871142814,False,False,11
question_0068,1,0.6655092479818631,False,False,9
question_0070,0,0.9824290806425829,True,False,14
question_0072,0,0.999997719193257,False,False,13
question_0076,2,0.6393016568866478,False,False,10
question_0085,1,0.9768658494028859,False,False,8
question_0097,0,0.9999990080737983,False,False,7
question_0099,1,0.9088556412108759,False,False,8
question_0102,2,0.9564908230479275,False,False,12
question_0105,1,0.9199073337790012,False,False,12
question_0107,2,0.9741749100933815,False,False,10
question_0109,2,0.983751764373861,False,False,11
question_0110,1,0.9515355296730612,False,False,8
question_0112,0,0.9113151553454312,False,False,10
question_0116,1,0.6686751847814232,False,False,7
question_0117,1,0.9215399332642361,False,False,11
question_0118,0,0.9999997318159903,True,False,13
question_0122,2,0.9932950975708666,False,False,11
question_0123,2,0.9555258624999337,False,False,13
question_0124,2,0.6138020617186974,False,False,9
question_0134,1,0.9568299939698226,False,False,8
question_0135,2,0.9714674808122209,False,False,10
question_0136,2,0.513483891618864,False,False,12
question_0137,0,0.9999204403386482,True,False,12
question_0141,2,0.952837254135273,False,False,9
question_0146,2,0.9864071461399608,False,False,12
question_0148,1,0.40349812106681465,False,False,9
question_0149,0,0.6534872047411693,False,False,17
question_0150,1,0.8095283246505085,False,False,10
question_0152,2,0.7384533221598564,False,False,11
question_0153,0,0.9996644771466304,False,False,7
question_0157,0,0.9999999999999964,False,False,11
question_0162,0,0.9931578519231175,False,False,11
question_0163,1,0.571445752576793,True,False,10
question_0165,2,0.9968830703307803,False,False,11
question_0168,2,0.9900533267590885,False,False,12
question_0169,0,0.9910008125012784,False,False,11
question_0177,2,0.9261655448473946,False,False,11
question_0182,0,0.9993938682628213,False,False,14
question_0183,0,0.955759750862351,False,False,14
question_0185,0,0.9491112209101684,False,False,11
question_0187,1,0.7230246984428012,False,False,10
question_0188,0,1.0,True,False,12
question_0190,2,0.9383401639960927,True,False,14
question_0194,0,0.999119439409654,False,False,11
question_0198,2,0.5941912032886993,False,False,11
question_0200,0,0.9999996007711667,False,False,13
question_0201,0,0.9999999990759001,False,False,3
question_0203,0,0.9999866818510279,False,False,11
question_0204,0,0.9934174463118703,False,False,12
question_0209,1,0.9814236899062893,False,False,9
question_0210,2,0.9324661695329335,False,False,10
question_0217,1,0.9400252967913003,False,False,12
question_0218,0,0.9604999078334551,False,False,9
question_0219,0,0.9981963020823014,True,False,7
question_0222,0,1.0,False,False,11
question_0223,1,0.8206096611598255,False,False,9
question_0225,2,0.9899620549680678,False,False,10
question_0227,1,0.9519537297170839,False,False,7
question_0228,0,0.9999949261693541,False,False,9
question_0231,2,0.5044857903018246,False,False,15
question_0236,0,0.9961831979141998,False,False,11
question_0237,0,0.9916930416079024,True,False,9
question_0240,1,0.6607643976779558,False,False,7
question_0246,1,0.7812170385542546,False,False,8
question_0253,0,0.998743571141465,False,False,11
question_0256,2,0.8665237165695313,False,False,8
question_0259,0,0.9999995385737391,False,False,9
question_0262,2,0.9289820104145163,False,False,11
question_0263,1,0.9284171447292283,False,False,10
question_0265,2,0.9365974779809936,False,False,11
question_0267,0,0.9999999999867377,False,False,9
question_0269,1,0.9065549027148211,True,False,10
question_0277,2,0.6977953637009785,False,False,10
question_0278,0,0.9999999990894253,False,False,9
question_0279,0,0.9999613618791267,False,False,10
question_0281,2,0.9918039922221075,False,False,11
question_0282,0,0.6429786215603291,False,False,10
question_0283,2,0.9940781491855265,False,False,13
question_0285,0,0.9999999999995524,False,False,6
question_0288,0,1.0,False,False,8
question_0290,1,0.7338728672219427,False,False,9
question_0292,2,0.9929133050795809,True,False,9
question_0293,2,0.9489214060719814,False,False,11
question_0296,0,0.9999999999999929,False,False,12
question_0299,1,0.6688729652487748,False,False,7
question_0302,0,0.9993619602097042,False,False,6
question_0305,0,0.9950059760450929,False,False,10
question_0306,2,0.9974007320011469,False,False,10
question_0307,0,0.7345508550561767,False,False,10
question_0308,2,0.9822389063292153,False,False,12
question_0310,1,0.8588843368144657,True,False,6
question_0314,0,0.999999987208895,False,False,8
question_0317,1,0.6371462216046083,False,False,7
question_0318,0,0.9999841671284863,False,False,10
question_0319,1,0.9168616873964424,False,False,7
question_0323,2,0.6806467500606862,False,False,11
question_0324,1,0.9564214026541408,False,False,6
question_0327,0,0.9999999999950724,True,False,12
question_0331,2,0.6447592819907076,False,False,9
question_0332,1,0.7463878113147789,False,False,10
question_0333,0,1.0,False,False,7
question_0334,2,0.9957742348786983,False,False,12
question_0335,0,0.3719741838197531,False,False,8
question_0344,0,0.9104937566056511,False,False,16
question_0345,2,0.9123685235635971,False,False,13
