id,prediction_original,original_logodds,original_logprob_1,original_logprob_2,probability_method,n_spans,valid_key_detected,predicted_hallucination,decision,true_hallucination,correct_option_eval_only,candidate_index,candidate_text,span_start,span_end,delete_prediction,delete_logodds,delete_logprob_1,delete_logprob_2,delete_delta,delete_flip,emphasis_prediction,emphasis_logodds,emphasis_logprob_1,emphasis_logprob_2,emphasis_delta,emphasis_flip,candidate_score,passes_candidate_gate,selected_top_k,negated_sentence,negated_prompt,rewrite_valid,notes,paraphrased_sentence,paraphrased_prompt,paraphrase_valid,paraphrase_notes,negation_prediction,negation_logodds,negation_logprob_1,negation_logprob_2,negation_delta,negation_flip,paraphrase_prediction,paraphrase_logodds,paraphrase_logprob_1,paraphrase_logprob_2,paraphrase_delta,paraphrase_flip,method_consistent,role_delta,surface_preserved,supports_original,predicted_key_type,classification_reason,negation_significant,key_confidence
1,1,-16.373046442980012,-4.320199877838604e-07,-16.373046875,logprobs,5,True,True,shortcut_evidence,False,1,0,The motorcycle title correction is ready.,10,51,1,-5.421874980442226,-0.004413147456943989,-5.42628812789917,10.951171462537786,False,1,-19.17919902513735,-1.9361264946837764e-07,-19.17919921875,-2.8061525821573383,False,10.951171462537786,True,True,Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is not ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,The correction to the motorcycle title has been completed.,"Scenario: The correction to the motorcycle title has been completed. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-7.101562437019311,-0.0008268986130133271,-7.102389335632324,9.271484005960701,False,1,-17.53124980638735,-1.9361264946837764e-07,-17.53125,-1.1582033634073383,False,True,8.113280642553363,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-16.373046442980012,-4.320199877838604e-07,-16.373046875,logprobs,5,True,True,shortcut_evidence,False,1,1,The clerk is waiting in the marked lane,52,91,2,1.046875,-1.3477449417114258,-0.3008699417114258,17.419921442980012,True,1,-21.013427734375,0.0,-21.013427734375,-4.640381291394988,False,19.419921442980012,True,True,The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,The clerk is stationed in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is stationed in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-6.375000233063474,-0.0017044597771018744,-6.376704692840576,9.998046209916538,False,1,-8.695312563722837,-0.00016778295685071498,-8.695480346679688,7.677733879257175,False,True,2.3203123306593625,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-16.373046442980012,-4.320199877838604e-07,-16.373046875,logprobs,5,True,True,shortcut_evidence,False,1,2,to compare the frame VIN,92,116,2,12.015624925906195,-12.015631675720215,-6.749814019713085e-06,28.388671368886207,True,1,-18.44335918138735,-1.9361264946837764e-07,-18.443359375,-2.0703127384073383,False,30.388671368886207,True,True,The clerk is waiting in the marked lane not to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane not to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,Negation applied only to the target span by inserting 'not' before the infinitive phrase.,The clerk is waiting in the marked lane to check the frame VIN against the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to check the frame VIN against the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,1,-6.828124952735379,-0.0010838981252163649,-6.829208850860596,9.544921490244633,False,1,-17.11132793138735,-1.9361264946837764e-07,-17.111328125,-0.7382814884073383,False,True,8.806640001837295,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,1.0
1,1,-16.373046442980012,-4.320199877838604e-07,-16.373046875,logprobs,5,True,True,shortcut_evidence,False,1,3,with the corrected title,117,141,1,-15.214843317980012,-4.320199877838604e-07,-15.21484375,1.158203125,False,1,-15.722655817980012,-4.320199877838604e-07,-15.72265625,0.650390625,False,1.158203125,False,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
1,1,-16.373046442980012,-4.320199877838604e-07,-16.373046875,logprobs,5,True,True,shortcut_evidence,False,1,4,before releasing it.,142,162,1,-14.578125283247005,-6.704273118884885e-07,-14.578125953674316,1.7949211597330077,False,1,-20.658203125,0.0,-20.658203125,-4.285156682019988,False,4.285156682019988,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,10.937500284057023,-10.937518119812012,-1.7835754988482222e-05,logprobs,6,True,True,shortcut_evidence,True,1,0,The car-hauler is marked ready,10,40,2,5.968750155065209,-5.971304416656494,-0.002554261591285467,-4.968750128991815,False,2,0.921875,-1.2567551136016846,-0.33488011360168457,-10.015625284057023,False,10.015625284057023,True,True,"Scenario: The car-hauler is not marked ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is not marked ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,"Scenario: The car-hauler is noted as ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is noted as ready, but yard staff finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office? Option1: Tow the hauler to the tester Option2: Walk to the office Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,8.17187497561099,-8.172158241271973,-0.000283265660982579,-2.765625308446033,False,2,10.859374807287168,-10.859394073486328,-1.9266199160483666e-05,-0.0781254767698556,False,True,2.6874998316761776,,True,shortcut_key,"negation does not flip, exceeds paraphrase noise by at most tau_role, and deletion/emphasis supports the original answer",True,0.4609375514076722
2,2,10.937500284057023,-10.937518119812012,-1.7835754988482222e-05,logprobs,6,True,True,shortcut_evidence,True,1,1,but yard staff finish checkout only,42,77,2,10.796875403395461,-10.796895980834961,-2.057743949990254e-05,-0.1406248806615622,False,2,1.140625,-1.4179682731628418,-0.2773432731628418,-9.796875284057023,False,9.796875284057023,True,True,"Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester.","Scenario: The car-hauler is marked ready, but yard staff do not finish checkout only after testing the emergency breakaway switch with the hauler plugged into their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,"Scenario: The car-hauler is marked ready, yet yard staff complete the checkout process only after testing the emergency breakaway switch with the hauler connected to their tester.","Scenario: The car-hauler is marked ready, yet yard staff complete the checkout process only after testing the emergency breakaway switch with the hauler connected to their tester. The office is next to the lot. Should I tow the hauler to the tester or walk to the office?
Option1: Tow the hauler to the tester
Option2: Walk to the office
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.",True,,2,14.562500402450667,-14.562500953674316,-5.512236498361744e-07,3.6250001183936433,False,2,11.937500045109573,-11.937506675720215,-6.630610641877865e-06,0.9999997610525497,False,True,2.6250003573410936,,False,ambiguous,"negation evidence, paraphrase control, or directional support is insufficient",True,0.6041666863989406
2,2,10.937500284057023,-10.937518119812012,-1.7835754988482222e-05,logprobs,6,True,True,shortcut_evidence,True,1,2,after testing the emergency breakaway switch,78,122,2,13.921874925635962,-13.921875953674316,-1.0280383548888494e-06,2.9843746415789383,False,2,6.9999997722916305,-7.000911235809326,-0.0009114635176956654,-3.9375005117653927,False,3.9375005117653927,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,10.937500284057023,-10.937518119812012,-1.7835754988482222e-05,logprobs,6,True,True,shortcut_evidence,True,1,3,with the hauler plugged,123,146,2,10.609375045964043,-10.609399795532227,-2.47495681833243e-05,-0.32812523809298,False,2,8.593750068248482,-8.5939359664917,-0.0001858982432167977,-2.343750215808541,False,2.343750215808541,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
2,2,10.937500284057023,-10.937518119812012,-1.7835754988482222e-05,logprobs,6,True,True,shortcut_evidence,True,1,4,into their tester.,147,165,2,9.109374930812919,-9.109485626220703,-0.00011069540778407827,-1.8281253532441042,False,2,7.562500201340299,-7.563019752502441,-0.0005195511621423066,-3.375000082716724,False,3.375000082716724,True,False,,,,not top-k,,,,not top-k,,,,,,,,,,,,,True,,,,,not selected for negation,,0.0
