item_id,correct_option,shortcut_option,prediction_original,correct_original,method_original,prediction_shortcut_removed,correct_shortcut_removed,method_shortcut_removed,prediction_constraint_removed,correct_constraint_removed,method_constraint_removed,prediction_control,correct_control,method_control,flip_shortcut_removed,flip_direction_shortcut_removed,flip_constraint_removed,flip_direction_constraint_removed,flip_control,flip_direction_control
1,1,2,1,True,sampling,1,True,sampling,1,True,sampling,1,True,sampling,False,,False,,False,
2,1,2,2,False,logprobs,1,True,sampling,1,True,logprobs,1,True,logprobs,True,shortcut_to_correct,True,shortcut_to_correct,True,shortcut_to_correct
3,2,1,2,True,logprobs,2,True,logprobs,2,True,logprobs,2,True,logprobs,False,,False,,False,
4,1,2,2,False,logprobs,1,True,sampling,1,True,sampling,1,True,sampling,True,shortcut_to_correct,True,shortcut_to_correct,True,shortcut_to_correct
5,1,2,1,True,sampling,1,True,sampling,1,True,sampling,1,True,sampling,False,,False,,False,
6,1,2,1,True,sampling,1,True,sampling,1,True,sampling,1,True,sampling,False,,False,,False,
7,1,2,1,True,logprobs,1,True,sampling,2,False,logprobs,1,True,logprobs,False,,True,correct_to_shortcut,False,
8,2,1,2,True,logprobs,2,True,logprobs,2,True,logprobs,2,True,logprobs,False,,False,,False,
9,1,2,1,True,sampling,1,True,sampling,1,True,sampling,1,True,sampling,False,,False,,False,
10,1,2,1,True,sampling,1,True,logprobs,1,True,logprobs,1,True,sampling,False,,False,,False,
11,1,2,1,True,logprobs,1,True,sampling,1,True,logprobs,1,True,sampling,False,,False,,False,
12,2,1,2,True,logprobs,2,True,logprobs,2,True,logprobs,2,True,sampling,False,,False,,False,
13,1,2,1,True,sampling,1,True,logprobs,1,True,sampling,1,True,logprobs,False,,False,,False,
14,1,2,1,True,logprobs,1,True,logprobs,1,True,logprobs,1,True,logprobs,False,,False,,False,
15,1,2,1,True,sampling,1,True,sampling,1,True,logprobs,1,True,logprobs,False,,False,,False,
16,1,2,1,True,logprobs,1,True,logprobs,1,True,logprobs,1,True,logprobs,False,,False,,False,
17,1,2,1,True,logprobs,1,True,logprobs,1,True,sampling,1,True,sampling,False,,False,,False,
18,2,1,1,False,logprobs,2,True,logprobs,1,False,logprobs,1,False,sampling,True,shortcut_to_correct,False,,False,
19,1,2,1,True,sampling,1,True,sampling,1,True,sampling,1,True,sampling,False,,False,,False,
20,1,2,1,True,sampling,1,True,logprobs,2,False,logprobs,1,True,logprobs,False,,True,correct_to_shortcut,False,
21,1,2,1,True,sampling,1,True,sampling,1,True,logprobs,1,True,sampling,False,,False,,False,
22,2,1,2,True,sampling,2,True,logprobs,2,True,logprobs,2,True,logprobs,False,,False,,False,
23,2,1,2,True,logprobs,2,True,logprobs,2,True,logprobs,2,True,logprobs,False,,False,,False,
24,2,1,2,True,logprobs,2,True,sampling,2,True,logprobs,2,True,sampling,False,,False,,False,
25,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
26,2,1,2,True,logprobs,2,True,logprobs,2,True,sampling,2,True,logprobs,False,,False,,False,
27,1,2,1,True,sampling,1,True,sampling,1,True,logprobs,1,True,logprobs,False,,False,,False,
28,1,2,1,True,logprobs,1,True,logprobs,2,False,sampling,1,True,logprobs,False,,True,correct_to_shortcut,False,
29,2,1,2,True,logprobs,2,True,logprobs,2,True,logprobs,2,True,logprobs,False,,False,,False,
30,2,1,2,True,sampling,2,True,logprobs,2,True,sampling,2,True,logprobs,False,,False,,False,
