id,role,core_text,matched_indices,matched_span_text,score,direct,method,confident,warning
31,shortcut,The cashier window is right by the parking lot,[4],The cashier window is right by the parking lot.,1.000,True,direct,True,
31,constraint,comparing it to the trailer plate at the ramp lane,"[2, 3]",after comparing it to the trailer plate at the ramp lane.,0.952,True,direct,True,
32,shortcut,The parts store offered to print a code report for my rough idle,"[0, 1]",The parts store offered to print a code report for my rough idle,1.000,True,direct,True,
32,constraint,be plugged in while the engine is running in their parking spot,"[3, 4]",to be plugged in while the engine is running in their parking spot.,0.960,True,direct,True,
33,shortcut,fixture tag,[1],The fixture tag must be attached,0.500,True,direct,True,
33,constraint,be attached to the stand base before staff move it inside,"[2, 3]",to the stand base before staff move it inside.,0.900,True,direct,True,
34,shortcut,return label,[1],The return label must be on the pouch,0.400,True,direct,True,
34,constraint,be on the pouch before staff scan the return,"[1, 2]",The return label must be on the pouch before staff scan the return.,0.818,True,direct,True,
35,shortcut,room-number tag,[1],The room-number tag must be attached,0.600,True,direct,True,
35,constraint,be attached to the underside shelf before staff move it inside,"[2, 3]",to the underside shelf before staff move it inside.,0.900,True,direct,True,
36,shortcut,original paper ticket,"[2, 3]",while the rail agency requires the original paper ticket for the refund.,0.400,True,direct,True,
36,constraint,scans proof pages,[1],The office scans proof pages,0.750,True,direct,True,
36,constraint,the rail agency requires the original paper ticket for the refund,"[2, 3]",while the rail agency requires the original paper ticket for the refund.,0.957,True,direct,True,
37,shortcut,suite badge,[3],while the suite badge must remain active on,0.400,True,direct,True,
37,constraint,scans paper proof and discards it,"[1, 2]",The media manager scans paper proof and discards it,0.800,True,direct,True,
37,constraint,the suite badge must remain active on my lanyard,"[3, 4]",while the suite badge must remain active on my lanyard.,0.947,True,direct,True,
38,constraint,place the countertop slab onto the padded rack in my truck,"[2, 3]",to place the countertop slab onto the padded rack in my truck.,0.957,True,direct,True,
39,shortcut,The reclaimed boards are approved for pickup,[0],The reclaimed boards are approved for pickup.,1.000,True,direct,True,
