id,pred_shortcut_span,pred_shortcut_index,gold_shortcut_indices,gold_shortcut_core_texts,shortcut_confidence,shortcut_eligible,shortcut_indices_available,shortcut_strict_hit,pred_constraint_span,pred_constraint_index,gold_constraint_indices,gold_constraint_proposition_indices,gold_constraint_core_texts,constraint_indices_available,constraint_strict_hit,constraint_proposition_indices_available,constraint_proposition_hit,candidate_level_safe,cue_identification_status,notes
1,,,[0],['title correction is ready'],high,True,True,False,to compare the frame VIN,2,[2],"[2, 3, 4]",['compare the frame VIN'],True,True,True,True,True,constraint_only,The VIN comparison requires the motorcycle itself; candidate 2 is the cleanest minimal constraint.
2,,,[5],['The office is next to the lot.'],high,True,True,False,with the hauler plugged,3,"[2, 3]","[2, 3, 4]","['testing the emergency breakaway switch', 'hauler plugged into their tester']",True,True,True,True,True,constraint_only,Candidate 4 alone ('into their tester') is not a complete gold constraint.
3,,,[0],['touch-up order is ready'],high,True,True,False,not a loose cover.,4,"[1, 2]","[1, 2, 3, 4]","['scanner read', 'welded main frame']",True,False,True,True,True,neither,"The core is that the scanner must read the fixed main frame, not a loose part."
4,The technician is in the scan stall,1,[0],['repair ticket for my van is open'],high,True,True,False,,,"[2, 3, 4]","[2, 3, 4]","['reads stored codes', 'port under the dash']",True,False,True,False,False,neither,The constraint proposition is distributed across candidates 2-4.
5,with a tach meter,2,[0],['CVT issue is checked in'],medium,True,True,False,during acceleration.,4,"[3, 4]","[2, 3, 4]","['watch RPM', 'during acceleration']",True,True,True,True,True,constraint_only,"The shortcut-removed variant does not cleanly remove this cue, so shortcut gold is provisional."
6,,,[0],['taxi renewal is otherwise complete'],high,True,True,False,The inspector is at the garage stripe,1,[2],[2],['run the cab through a short emissions check'],True,False,True,False,True,neither,Cleanly separable status cue and physical-inspection constraint.
7,,,[5],['The reception desk is down the hall.'],high,True,True,False,mobility scooter's storage bin,1,[3],"[3, 4]",['matching the scooter ID label'],True,False,True,False,True,neither,The ID-label matching requires bringing the scooter.
8,The copier records usage only,1,[],[],none,False,False,,,,[2],"[1, 2]",['department card is swiped'],True,False,True,False,True,no_evaluable_shortcut,No defensible independent shortcut cue appears in the scenario; the shortcut mainly comes from the alternative option.
9,,,[2],['numbered tag'],medium,True,True,False,after the numbered tag is attached,2,"[2, 3]","[2, 3]","['tag is attached', 'to the handle']",True,True,True,True,False,constraint_only,The shortcut noun and relational constraint occur in the same candidate group.
10,,,[1],['inventory tag'],medium,True,True,False,I am adding a label printer to inventory.,0,"[1, 2, 3]","[1, 2, 3]","['tag must be applied', 'to the top panel', 'before the clerk scans it']",True,False,True,False,False,neither,"Candidate 0 is context, not the gold constraint."
