key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0000,0,0.5324872502855809,False,False,11
question_0001,0,0.9999946524423663,True,False,14
question_0002,1,0.5842111894840256,True,True,11
question_0003,1,0.9594380554553611,False,False,12
question_0004,0,0.6185114616105364,True,True,8
question_0005,0,0.6240042343885149,True,True,16
question_0006,0,0.8960233774770161,True,True,9
question_0007,1,0.9926993810820036,True,True,11
question_0008,1,0.8850806259400359,True,True,15
question_0009,1,0.975778105656302,False,False,12
question_0010,1,0.9475728562168535,False,False,10
question_0011,1,0.9236703379643705,False,False,13
question_0012,1,0.9535214422532793,True,True,13
question_0013,0,0.6971686172695662,True,True,11
question_0014,1,0.9914345505714562,True,True,11
question_0015,0,0.9999733484272237,False,False,11
question_0016,0,0.7319799294754618,True,True,10
question_0017,1,0.9873225080818756,False,False,15
question_0018,1,0.9856401302754374,False,False,10
question_0019,1,0.9605858175243438,True,True,9
question_0020,1,0.9621675578379371,False,False,9
question_0021,0,0.9925701994101939,False,False,11
question_0022,1,0.9507029210426265,False,True,12
question_0023,0,0.8726602368021908,True,True,13
question_0024,1,0.9949552588374214,True,True,13
question_0025,0,0.9948593528409063,True,True,10
question_0026,1,0.9710220730863361,False,True,7
question_0027,1,0.9942087426231646,False,True,14
question_0028,1,0.9154298660404568,True,True,9
question_0029,0,0.8433463188710997,True,True,9
question_0030,1,0.9333816776702802,True,True,9
question_0031,0,0.9990498819572677,True,True,8
question_0032,0,0.9993579493838887,False,False,14
question_0033,1,0.968959107856706,True,True,9
question_0034,1,0.9910365442310589,False,False,10
question_0035,0,0.9247095359596046,False,True,11
question_0036,1,0.9967483853499784,False,False,9
question_0037,1,0.9903715815524621,True,True,12
question_0038,1,0.9927299028594283,False,False,13
question_0039,1,0.57457224828931,False,False,12
question_0040,0,0.9990045402658625,True,True,11
question_0041,1,0.9845998134118176,False,True,11
question_0042,0,0.7638052044591298,True,True,9
question_0043,1,0.6963626217755039,False,False,10
question_0044,1,0.8133062126651374,False,True,8
question_0045,1,0.5196560701595048,True,True,10
question_0046,1,0.9576380076660891,True,False,9
question_0047,0,0.7939743363283378,True,True,13
question_0048,1,0.992820021623185,True,True,10
question_0049,0,0.6463505626384649,False,False,13
question_0050,1,0.6959960008485937,True,True,17
question_0051,1,0.9545572857236553,False,False,11
