item_id,correct_option,shortcut_option,prediction_original,correct_original,method_original,prediction_shortcut_removed,correct_shortcut_removed,method_shortcut_removed,prediction_constraint_removed,correct_constraint_removed,method_constraint_removed,prediction_control,correct_control,method_control,flip_shortcut_removed,flip_direction_shortcut_removed,flip_constraint_removed,flip_direction_constraint_removed,flip_control,flip_direction_control
1,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
2,1,2,1,True,logprobs,1,True,sampling,2,False,sampling,2,False,sampling,False,,True,correct_to_shortcut,True,correct_to_shortcut
3,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
4,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
5,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
6,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
7,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
8,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
9,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
10,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
11,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
12,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
13,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
14,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
15,1,2,1,True,sampling,1,True,sampling,2,False,logprobs,1,True,sampling,False,,True,correct_to_shortcut,False,
16,1,2,1,True,logprobs,1,True,logprobs,2,False,sampling,2,False,sampling,False,,True,correct_to_shortcut,True,correct_to_shortcut
17,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
18,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
19,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
20,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
21,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
22,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
23,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
24,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
25,1,2,1,True,sampling,1,True,sampling,2,False,sampling,1,True,sampling,False,,True,correct_to_shortcut,False,
26,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
27,1,2,1,True,sampling,1,True,sampling,2,False,logprobs,1,True,sampling,False,,True,correct_to_shortcut,False,
28,1,2,2,False,logprobs,1,True,logprobs,2,False,sampling,2,False,sampling,True,shortcut_to_correct,False,,False,
29,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
30,2,1,2,True,sampling,2,True,sampling,1,False,sampling,2,True,sampling,False,,True,correct_to_shortcut,False,
