id,n_spans,L_original,pred_shortcut_span,pred_shortcut_delta,pred_shortcut_selection_reason,pred_constraint_span,pred_constraint_delta,pred_constraint_selection_reason,pred_shortcut_index,gold_shortcut_indices,shortcut_confidence,shortcut_eligible,shortcut_strict_hit,pred_constraint_index,gold_constraint_indices,gold_constraint_proposition_indices,constraint_strict_hit,constraint_proposition_hit,candidate_level_safe,cue_identification_status,prediction_original,true_hallucination,shortcut_deleted_prediction,shortcut_deleted_flips,shortcut_deleted_role_flip_direction,constraint_deleted_prediction,constraint_deleted_flips,constraint_deleted_role_flip_direction,hallucination_detected,hallucination_detection_observable,hallucination_detection_correct,hallucination_detected_directional,hallucination_directional_correct
1,5,-16.742187187183674,,,,to compare the frame VIN,28.460937470790498,directional_flip,,[0],high,True,False,2,[2],"[2, 3, 4]",True,True,True,constraint_only,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
2,6,10.328124688712705,,,,with the hauler plugged,3.843750475330637,shortcut_stability,,[5],high,True,False,3,"[2, 3]","[2, 3, 4]",True,True,True,constraint_only,2,True,,,,2,False,no_flip,False,False,False,False,False
3,5,-21.2578125,,,,not a loose cover.,15.320312608964741,delta_threshold,,[0],high,True,False,4,"[1, 2]","[1, 2, 3, 4]",False,True,True,neither,2,False,,,,2,False,no_flip,False,False,True,False,True
4,5,-6.578125106636435,The technician is in the scan stall,-11.503906143363565,delta_threshold,,,,1,[0],high,True,False,,"[2, 3, 4]","[2, 3, 4]",False,False,False,neither,1,False,1,False,no_flip,,,,False,False,True,False,True
5,5,-11.19531266467311,with a tach meter,-9.916473030386115,delta_threshold,during acceleration.,5.945312619503966,delta_threshold,2,[0],medium,True,False,4,"[3, 4]","[2, 3, 4]",True,True,True,constraint_only,1,False,1,False,no_flip,1,False,no_flip,False,True,True,False,True
6,3,-19.52343730638735,,,,The inspector is at the garage stripe,15.809865239683042,delta_threshold,,[0],high,True,False,1,[2],[2],False,False,True,neither,1,False,,,,1,False,no_flip,False,False,True,False,True
7,6,-5.562500001862645,,,,mobility scooter's storage bin,14.953125289022864,directional_flip,,[5],high,True,False,1,[3],"[3, 4]",False,False,True,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
8,3,-3.713572066704308,The copier records usage only,-16.88799043329569,delta_threshold,,,,1,[],none,False,,,[2],"[1, 2]",False,False,True,no_evaluable_shortcut,2,False,2,False,no_flip,,,,False,False,True,False,True
9,4,-17.921874687183674,,,,after the numbered tag is attached,11.046874780665178,delta_threshold,,[2],medium,True,False,2,"[2, 3]","[2, 3]",True,True,False,constraint_only,1,False,,,,1,False,no_flip,False,False,True,False,True
10,4,-15.76171879483968,,,,I am adding a label printer to inventory.,18.90234390659839,directional_flip,,[1],medium,True,False,0,"[1, 2, 3]","[1, 2, 3]",False,False,False,neither,1,False,,,,2,True,correct_to_shortcut,False,False,True,False,True
