key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0000,1,0.43506924015474313,False,False,11
question_0001,1,0.9999937117249265,True,False,14
question_0002,2,0.6802642263200154,True,True,11
question_0003,2,0.9420395641335705,False,False,12
question_0004,0,0.4042054102395343,True,True,8
question_0005,1,0.9896940259465421,True,True,16
question_0006,0,0.6459375732682933,True,True,9
question_0007,2,0.8273731908183557,True,True,11
question_0008,2,0.4277786363863791,True,True,15
question_0009,2,0.9245961027219566,False,False,12
question_0010,3,0.8798607934399811,False,False,10
question_0011,2,0.9496687297897681,False,False,13
question_0012,2,0.6594768786097944,True,True,13
question_0013,1,0.9573300195735038,True,True,11
question_0014,2,0.9891129908758477,True,True,11
question_0015,0,0.9856902933292367,False,False,11
question_0016,1,0.9980012869963512,True,True,10
question_0017,2,0.6183830643527503,False,False,15
question_0018,3,0.8180588587739916,False,False,10
question_0019,3,0.5853985961253542,True,True,9
question_0020,2,0.9282141666519044,False,False,9
question_0021,0,0.7782430881561583,False,False,11
question_0022,3,0.8027654067704196,False,True,12
question_0023,1,0.8122916682945805,True,True,13
question_0024,2,0.9867571652853582,True,True,13
question_0025,1,0.9999787027755164,True,True,10
question_0026,3,0.959026997680475,False,True,7
question_0027,3,0.8773526050321049,False,True,14
question_0028,3,0.9594004560219875,True,True,9
question_0029,1,0.9026636526655075,True,True,9
question_0030,3,0.9330026037185677,True,True,9
question_0031,1,0.999897414183307,True,True,8
question_0032,1,0.9999321295362565,False,False,14
question_0033,2,0.9750903777473094,True,True,9
question_0034,3,0.9592680587786028,False,False,10
question_0035,1,0.90274367569697,False,True,11
question_0036,2,0.8855613805799859,False,False,9
question_0037,3,0.8947984358088217,True,True,12
question_0038,2,0.8148157943190778,False,False,13
question_0039,2,0.6321839985497713,False,False,12
question_0040,0,0.9225534838487717,True,True,11
question_0041,3,0.8507537473849182,False,True,11
question_0042,1,0.7879238793411811,True,True,9
question_0043,2,0.6957985816263167,False,False,10
question_0044,1,0.7515392200248684,False,True,8
question_0045,1,0.7044877852513787,True,True,10
question_0046,2,0.6525660905628701,True,False,9
question_0047,1,0.9444357117433146,True,True,13
question_0048,3,0.6266024587775564,True,True,10
question_0049,1,0.9947177204910076,False,False,13
question_0050,3,0.8047035539714653,True,True,17
question_0051,3,0.5822749443160975,False,False,11
question_0052,1,0.4396545393676959,False,False,10
question_0053,2,0.6745484421541033,False,False,9
question_0054,3,0.7076089394549131,False,False,14
question_0055,3,0.8037028765432876,False,False,8
question_0056,2,0.9659184528538879,False,True,10
question_0057,1,0.9985860771763504,False,False,10
question_0058,2,0.6945720860164156,False,False,10
question_0059,3,0.671674301186816,True,False,10
question_0060,1,0.9861224651821489,True,True,9
question_0061,1,0.5753506119581429,True,True,11
question_0062,0,0.7479284234908795,True,True,11
question_0063,1,0.9986560255945512,False,True,13
question_0064,3,0.6635252149117707,False,False,10
question_0065,1,0.9966705008184952,True,True,9
question_0066,3,0.9032124951622136,False,False,11
question_0067,2,0.9748403255792623,True,True,11
question_0068,2,0.7040354461084863,False,False,9
question_0069,0,0.8273905733234669,True,True,8
question_0070,1,0.9392161915104977,True,False,14
question_0071,2,0.9771753681957379,True,True,12
question_0072,1,0.9975811466261393,False,False,13
question_0073,3,0.8647943686750562,True,True,10
